"lagoslakeid","Unburned_ha","Low_ha","ModerateLow_ha","ModerateHigh_ha","High_ha","Area_ha","Unburned_pct","Low_pct","ModerateLow_pct","ModerateHigh_pct","High_pct"
223,8.44,3.8,2.28,5.24,14.08,162.562751560368,84.3752644709833,2.33755885867179,1.40253531520308,3.22337063669479,8.66127071844706
414,NA,NA,NA,NA,NA,114.191365188651,NA,NA,NA,NA,NA
430,NA,NA,NA,NA,NA,116.561719444696,NA,NA,NA,NA,NA
14101,0,0.04,0.6,2.56,8.56,11.7959335116926,0.30462626511941,0.339099910662859,5.08649865994289,21.702394282423,72.5673808818519
15139,3.44,3.72,0.6,0.44,0.16,13.3612771217988,63.1771726972636,27.8416499118251,4.49058869545566,3.29309837666749,1.19749031878818
27717,4.12,4.76,6.52,14.28,15.2,44.7503603007284,8.91693446468948,10.6367858672247,14.5697150954422,31.910357601674,33.9662069709696
29814,NA,NA,NA,NA,NA,7.07871413575587,NA,NA,NA,NA,NA
38199,4.2,8.28,11.36,13.12,10.36,70.5357086227495,38.8678431932663,11.7387351196604,16.1053177487128,18.600507822457,14.6875961159035
50749,2.44,15.68,29.52,51.2,40.6,139.819629469452,2.01661918297944,11.2144482570137,21.1129153410106,36.6186065535143,29.037410665482
51824,1.56,2.48,2.6,3.52,6.28,16.3492225275584,8.9864978293728,15.1689170284379,15.9028968846526,21.5300757822989,38.4116124752378
66287,NA,NA,NA,NA,NA,10.6644062807288,NA,NA,NA,NA,NA
66295,2.08,6.12,7.72,17.96,26.92,60.892104663104,3.56713678254608,10.0505640819281,12.6781625347198,29.4947926325864,44.2093439682197
73430,6.16,11.36,9.4,8.2,7.64,42.5263909610814,13.9357956956775,26.7128240682269,22.103921324061,19.2821441337553,17.9653147782793
113774,NA,NA,NA,NA,NA,66.667005561906,NA,NA,NA,NA,NA
133329,NA,NA,NA,NA,NA,39.8516609706987,NA,NA,NA,NA,NA
