"lagoslakeid","unburned_ha","unburned_low_ha","low_ha","moderate_ha","high_ha","Site","Type","ws_area_ha","Source","unburned_pct","unburned_low_pct","low_pct","moderate_pct","high_pct"
223,4661.72,125.2,498.68,118.2,7.64,"Greenwood Lake","burned",7724.215,"drainage",90.2939004157704,1.62087668455629,6.45606058350266,1.53025258877439,0.0989097273962467
414,1554.8,109.08,562.04,64.52,0.36,"Sand Lake","burned",2302.397,"drainage",68.0333148453546,4.73767121829988,24.4110811471697,2.80229691056755,0.0156358786082504
430,1779.52,226.8,222.68,8,1.52,"Slate Lake","burned",2468.841,"drainage",81.4082802416195,9.18649682178804,9.01961689715944,0.324038688599225,0.0615673508338528
14101,1.16,0,3.24,2.52,0.08,"Fourth McDougal","burned",7.705024,"drainage",24.205297738203,0,42.0504855014079,32.7059331677617,1.03828359262736
15139,9043,24.4,36.04,0.28,0,"Unnamed Lake","burned",11262.54,"drainage",99.4608676195601,0.21664739925452,0.319998863489053,0.00248611769636334,0
27717,9.16,12.76,77.72,33.92,2.68,"Middle McDougal","burned",139.6248,"drainage",8.98465029135225,9.13877763835651,55.6634637972624,24.2936784869164,1.9194297861125
29814,808.4,10.56,24.32,0,0,"Teamster Lake","burned",851.9476,"isolated",95.9058514866407,1.2395128526684,2.85463566069087,0,0
38199,300.6,102,471.96,156.84,18.8,"North McDougal","burned",1060.816,"drainage",29.337415725253,9.61523958914647,44.4902791813095,14.7848448741346,1.77222063015641
50749,1365.36,523.6,3272.56,692.24,24.12,"Stony Lake","burned",5907.12,"drainage",23.6087975189263,8.86387952166199,55.4002627337857,11.7187394195479,0.408320806078089
51824,45.96,1.08,24.88,5.8,0.12,"Fishtrap Lake","burned",80.18626,"isolated",60.2425652474626,1.34686416351131,31.0277596186678,7.23315939663479,0.149651573723478
66287,119,39.84,2.2,0,0,"Lil Chub Lake","burned",165.0523,"isolated",74.5292855658479,24.1378035931641,1.33291084098798,0,0
66295,1993.76,118.24,690.04,554.48,70.68,"South McDougal","burned",3443.201,"drainage",58.3689711986027,3.43401387255638,20.0406540309439,16.1036198583818,2.05274103951527
73430,6.96,10.96,74.76,5.52,0,"Wampus Lake","burned",101.2286,"isolated",9.86736949834334,10.8269797270732,73.8526463864955,5.45300438808795,0
113774,2424.08,59.52,226.28,27.12,0.68,"Lake Gegoka","burned",2842.151,"drainage",88.9661034899272,2.09418852129954,7.96157558131148,0.95420686655987,0.0239255409019436
133329,120.76,2.52,7.52,0,0,"West Chub Lake","burned",134.6791,"drainage",92.5452427288273,1.87111437483618,5.58364289633655,0,0
