OID_,LAGOSLAKEI,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
1,223,1384000.000000000000000,16800.000000000000000,138000.000000000000000,86000.000000000000000,400.000000000000000,0.000000000000000
2,414,1140000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,430,1005200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,14101,0.000000000000000,0.000000000000000,50000.000000000000000,52400.000000000000000,800.000000000000000,14400.000000000000000
5,15139,76000.000000000000000,30400.000000000000000,28000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
6,27717,126000.000000000000000,4800.000000000000000,229200.000000000000000,69200.000000000000000,19600.000000000000000,0.000000000000000
7,29814,71200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,38199,298400.000000000000000,27200.000000000000000,341600.000000000000000,38400.000000000000000,0.000000000000000,0.000000000000000
9,50749,0.000000000000000,36800.000000000000000,1042800.000000000000000,144400.000000000000000,14800.000000000000000,155600.000000000000000
10,51824,6400.000000000000000,14800.000000000000000,118000.000000000000000,17600.000000000000000,0.000000000000000,7600.000000000000000
11,66287,107600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,66295,57600.000000000000000,22800.000000000000000,361600.000000000000000,129200.000000000000000,36800.000000000000000,0.000000000000000
13,73430,0.000000000000000,66000.000000000000000,256800.000000000000000,32800.000000000000000,0.000000000000000,72000.000000000000000
14,113774,673600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,133329,397200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
