"lagoslakeid","ERL","Unburned","Low","ModLow","ModHigh","High"
"113774",0,20.7,16.2,14.7,26.5,21.9
"133329",0,20.7,31,25.2,19.1,4
"14101",0,0,0.5,4.5,20.4,74.6
"15139",0.1,54.3,25.8,9.5,5.9,4.4
"223",0,31.6,17.4,10.7,15,25.3
"27717",0,8.2,12.7,14.1,24.7,40.3
"29814",0,27.2,47.4,14.1,10.1,1.2
"38199",0,18.3,20.1,16.7,16.2,28.7
"414",0,19.5,19.6,16.5,24.4,20
"430",0.2,45,27.5,11.6,10.3,5.4
"50749",0,10,15.4,17.5,26,31.1
"51824",0,31.4,23.6,7,15,23
"66287",0,79.5,20.3,0.2,0,0
"66295",0,13.6,13.1,8.4,14,50.9
"73430",0,10.1,21.8,30.8,22.4,14.9
