OID_,LAGOSLAKEI,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7
1,223,1200.000000000000000,3053600.000000000000000,1675600.000000000000000,1027600.000000000000000,1434400.000000000000000,2416800.000000000000000
2,414,800.000000000000000,1725200.000000000000000,1736800.000000000000000,1458400.000000000000000,2150000.000000000000000,1774400.000000000000000
3,430,12400.000000000000000,2644800.000000000000000,1617600.000000000000000,675600.000000000000000,601600.000000000000000,316000.000000000000000
4,14101,0.000000000000000,0.000000000000000,400.000000000000000,2800.000000000000000,13600.000000000000000,53200.000000000000000
5,15139,1200.000000000000000,546400.000000000000000,260000.000000000000000,98000.000000000000000,58000.000000000000000,41200.000000000000000
6,27717,0.000000000000000,108800.000000000000000,175200.000000000000000,190800.000000000000000,331200.000000000000000,556400.000000000000000
7,29814,0.000000000000000,174000.000000000000000,298800.000000000000000,88000.000000000000000,60000.000000000000000,7200.000000000000000
8,38199,0.000000000000000,1730400.000000000000000,1888400.000000000000000,1574400.000000000000000,1506400.000000000000000,2671600.000000000000000
9,50749,1200.000000000000000,4513600.000000000000000,7064400.000000000000000,8056800.000000000000000,11921600.000000000000000,14239600.000000000000000
10,51824,0.000000000000000,204400.000000000000000,146400.000000000000000,43600.000000000000000,100000.000000000000000,152000.000000000000000
11,66287,0.000000000000000,276400.000000000000000,70400.000000000000000,400.000000000000000,0.000000000000000,0.000000000000000
12,66295,2800.000000000000000,2254000.000000000000000,2162000.000000000000000,1396400.000000000000000,2314000.000000000000000,8458400.000000000000000
13,73430,0.000000000000000,93600.000000000000000,219200.000000000000000,305600.000000000000000,219600.000000000000000,144000.000000000000000
14,113774,0.000000000000000,659600.000000000000000,512000.000000000000000,472000.000000000000000,855600.000000000000000,708400.000000000000000
15,133329,0.000000000000000,21200.000000000000000,38400.000000000000000,32000.000000000000000,24400.000000000000000,4400.000000000000000
