lagoslakeid,low_severity_ha,low_severity_pct,moderate_severity_ha,moderate_severity_pct,high_severity_ha,high_severity_pct,ws_area_ha
223,557.88,7.222481213,142.2,1.840963699,8.72,0.112891726,7724.215315
414,561.2,24.37460163,60.28,2.618141458,0.36,0.015635881,2302.396603
430,198.4,8.036160389,6.92,0.280293497,1.44,0.058326971,2468.84072
14101,4.2,54.50990422,0.68,8.825413064,0,0,7.705021794
15139,40.64,0.360842354,0.24,0.002130959,0,0,11262.53598
27717,79.08,56.63748434,23.08,16.53000934,0.88,0.630260321,139.6248455
29814,12.76,1.497744635,0,0,0,0,851.9476352
38199,433.36,40.8515761,133.84,12.61670423,15.68,1.478107609,1060.815864
50749,3248.52,54.99329489,657.48,11.13029673,21.64,0.366337563,5907.120143
51824,27.84,34.719165,6.56,8.180952672,0.44,0.548722435,80.18626024
66287,0.96,0.581633932,0,0,0,0,165.0522686
66295,700.96,20.3578034,587.72,17.06900282,73.6,2.137546123,3443.200556
73430,63.72,62.94662356,5.96,5.887662844,0,0,101.2286226
113774,210.64,7.411286944,23.96,0.843023334,0.2,0.007036923,2842.151459
133329,3.44,2.554219968,0,0,0,0,134.6790818
