lagoslakeid,low_severity_ha,low_severity_pct,moderate_low_severity_ha,moderate_low_severity_pct,moderate_high_severity_ha,moderate_high_severity_pct,high_severity_ha,high_severity_pct,ws_area_ha
223,169.92,2.199835104,103.52,1.340200859,145.2,1.879802596,247.24,3.200842932,7724.215315
414,174.48,7.578190472,146.88,6.379439572,216.52,9.404113944,179.6,7.800567451,2302.396603
430,165.32,6.696260259,68.8,2.786733038,60.56,2.452973151,31.76,1.28643374,2468.84072
14101,0.04,0.519141945,0.2,2.595709725,1.6,20.7656778,6.08,78.90957563,7.705021794
15139,26.68,0.236891585,10.12,0.089855429,6.04,0.053629129,4.44,0.039422738,11262.53598
27717,17.88,12.8057438,19.44,13.92302346,33.96,24.32231877,56.76,40.65179073,139.6248455
29814,30.64,3.596465174,9.16,1.075183453,6.32,0.741829631,0.76,0.089207361,851.9476352
38199,192.2,18.11813025,159.12,14.99977568,152.84,14.4077785,269.2,25.3766944,1060.815864
50749,709.52,12.01126747,806.96,13.66080223,1196.4,20.25352407,1438.16,24.34621212,5907.120143
51824,15.48,19.30505295,4.56,5.686759784,10.08,12.57073216,15.36,19.15540138,80.18626024
66287,7.92,4.79847994,0.08,0.048469494,0,0,0,0,165.0522686
66295,218.76,6.353391167,141.08,4.097350639,232,6.737917128,852.36,24.75487518,3443.200556
73430,22.64,22.3652159,31.28,30.9003513,22.48,22.20715784,14.92,14.73891437,101.2286226
113774,52.76,1.856340197,48.28,1.69871313,85.88,3.021654589,71.24,2.506551851,2842.151459
133329,4.2,3.118524379,3.32,2.465119271,2.44,1.811714163,0.44,0.326702554,134.6790818
