lagoslakeid,low_severity_ha,low_severity_pct,moderate_low_severity_ha,moderate_low_severity_pct,moderate_high_severity_ha,moderate_high_severity_pct,high_severity_ha,high_severity_pct,total_ws_burn_ha,total_ws_burn_pct,ws_area_ha
223,169.92,2.199835194,103.52,1.340200914,145.2,1.879802673,247.24,3.200843063,665.88,8.620681843,7724.215
414,174.48,7.578189165,146.88,6.379438472,216.52,9.404112323,179.6,7.800566106,717.48,31.16230607,2302.397
430,165.32,6.6962595,68.8,2.786732722,60.56,2.452972873,31.76,1.286433594,326.44,13.22239869,2468.841
15139,26.68,0.2368915,10.12,0.089855397,6.04,0.05362911,4.44,0.039422723,47.28,0.419798731,11262.54
27717,17.88,12.80574798,19.44,13.923028,33.96,24.32232669,56.76,40.65180398,128.04,91.70290665,139.6248
29814,30.64,3.596465323,9.16,1.075183497,6.32,0.741829662,0.76,0.089207364,46.88,5.502685846,851.9476
38199,192.2,18.11812793,159.12,14.99977376,152.84,14.40777665,269.2,25.37669115,773.36,72.9023695,1060.816
50749,709.52,12.01126776,806.96,13.66080256,1196.4,20.25352456,1438.16,24.34621271,4151.04,70.27180758,5907.12
51824,15.48,19.30505301,4.56,5.686759801,10.08,12.57073219,15.36,19.15540144,45.48,56.71794644,80.18626
66287,7.92,4.798479028,0.08,0.048469485,0,0,0,0,8,4.846948513,165.0523
66295,218.76,6.353390348,141.08,4.097350111,232,6.737916259,852.36,24.75487199,1444.2,41.94352871,3443.201
73430,22.64,22.3652209,31.28,30.9003582,22.48,22.2071628,14.92,14.73891766,91.32,90.21165955,101.2286
113774,52.76,1.856340497,48.28,1.698713404,85.88,3.021655077,71.24,2.506552256,258.16,9.083261234,2842.151
133329,4.2,3.118523958,3.32,2.465118938,2.44,1.811713918,0.44,0.32670251,10.4,7.722059325,134.6791
