lagoslakeid,lake_namegnis,lake_namelagos,ws_burn_pct,ws_area_ha,ws_burn_ha
113774,Lake Gegoka,Lake Gegoka,0.113728531,2842.151459,323.2337103
223,Greenwood Lake,Greenwood Lake,0.124958625,7724.215315,965.2073225
430,Slate Lake,Slate Lake,0.240655321,2468.84072,594.1396492
414,Sand Lake,Sand Lake,0.386551484,2302.396603,889.9948146
29814,Teamster Lake,Teamster Lake,0.075283814,851.9476352,64.13786724
73430,Wampus Lake,Wampus Lake,1,101.2286226,101.22862
133329,West Chub Lake,West Chub Lake,0.092940731,134.6790818,12.51717209
50749,Stony Lake,Stony Lake,0.778807902,5907.120143,4600.511828
51824,Fishtrap Lake,Fishtrap Lake,0.824760001,80.18626024,66.13441722
52893,Little Wampus Lake,Little Wampus Lake,1,7.085892135,7.085886983
15139,NA,NA,0.009132414,11262.53598,102.8541412
38199,North McDougal,McDougal Lake,0.89091358,1060.815864,945.0952497
66295,South McDougal,McDougal Lakes,0.484329962,3443.200556,1667.64519
27717,Middle McDougal,McDougal Lakes,1,139.6248455,139.6248391
14101,Fourth McDougal,,1,7.705021794,7.705020243
