lagoslakeid,GNIS_Name,Hectares,STATE,Connectivi,Connecti_1,Connecti_2
105946,Lobo Lake,52.56484901,MN,Drainage,Drainage,N
316851, ,2.268391221,MN,Drainage,Drainage,N
58010,Kitigan Lake,28.69478387,MN,Drainage,Drainage,N
11039,Tommy Lake,2.961787063,MN,Drainage,Drainage,N
316862, ,1.180105718,MN,Drainage,Drainage,N
29804,Luster Lake,7.292999754,MN,Drainage,Drainage,N
21441,Mitawan Lake,77.33218683,MN,Drainage,Drainage,N
37118,Source Lake,13.27809827,MN,Drainage,Drainage,N
86050, ,1.53768217,MN,Drainage,Drainage,N
102493,Wadop Lake,16.01621981,MN,Drainage,Drainage,N
98457,Planted Lake,14.46937971,MN,Drainage,Drainage,N
53906,Wilbur Lake,6.593124821,MN,Drainage,Drainage,N
316916, ,1.039088105,MN,Drainage,Drainage,N
68340,Beetle Lake,11.13509814,MN,Drainage,Drainage,N
57275,Cloquet Lake,73.69213753,MN,DrainageLk,DrainageLk,N
316854, ,1.009336291,MN,DrainageLk,DrainageLk,N
22524,Shallow Lake,43.84575448,MN,DrainageLk,DrainageLk,N
316865, ,1.090708152,MN,DrainageLk,DrainageLk,N
45541, ,4.592695088,MN,DrainageLk,DrainageLk,N
55930, ,3.292038392,MN,DrainageLk,DrainageLk,N
124347,Harris Lake,47.36688299,MN,DrainageLk,DrainageLk,N
316884,Deep Lake,16.04911346,MN,DrainageLk,DrainageLk,N
30871,Two Deer Lake,18.05215529,MN,DrainageLk,DrainageLk,N
69356, ,3.206139344,MN,DrainageLk,DrainageLk,N
63,August Lake,75.68277316,MN,DrainageLk,DrainageLk,N
117941,Chipmunk Lake,12.64798404,MN,DrainageLk,DrainageLk,N
40335,Surprise Lake,15.30219788,MN,DrainageLk,DrainageLk,N
316899, ,3.441325139,MN,DrainageLk,DrainageLk,N
127093,Rat Lake,3.204827323,MN,DrainageLk,DrainageLk,N
316905, ,2.156504354,MN,DrainageLk,DrainageLk,N
20349,Gander Lake,48.74081881,MN,DrainageLk,DrainageLk,N
129109, ,3.892707223,MN,DrainageLk,DrainageLk,N
108658,Dragon Lake,36.19634515,MN,DrainageLk,DrainageLk,N
316911, ,1.949515612,MN,DrainageLk,DrainageLk,N
3839,Grouse Lake,48.32786196,MN,DrainageLk,DrainageLk,N
316917, ,5.70351281,MN,DrainageLk,DrainageLk,N
121215,Flat Horn Lake,20.29328052,MN,DrainageLk,DrainageLk,N
64559,Ridgepole Lake,9.092835888,MN,Isolated,Isolated,N
132992,Driller Lake,11.66356472,MN,Isolated,Isolated,N
27063,Otter Lake,3.075992032,MN,Isolated,Isolated,N
52221,Lake Culkin,22.62170808,MN,Isolated,Isolated,N
40660, ,1.455761002,MN,Isolated,Isolated,N
84341, ,5.360177804,MN,Isolated,Isolated,N
66611,Continental Lake,9.763161312,MN,Isolated,Isolated,N
75881, ,1.621275681,MN,Isolated,Isolated,N
316848, ,1.888187108,MN,Isolated,Isolated,N
316852, ,3.415799157,MN,Isolated,Isolated,N
316855, ,1.045172674,MN,Isolated,Isolated,N
218,Gunsten Lake,7.69292648,MN,Isolated,Isolated,N
316863, ,1.016155926,MN,Isolated,Isolated,N
316864, ,1.13464752,MN,Isolated,Isolated,N
22502, ,4.000738317,MN,Isolated,Isolated,N
110753,Fools Lake,12.74370506,MN,Isolated,Isolated,N
74464,Robin Lake,6.754488889,MN,Isolated,Isolated,N
48679,Railroad Lake,4.135007376,MN,Isolated,Isolated,N
91258,Hide Lake,1.234532215,MN,Isolated,Isolated,N
39258, ,2.579830766,MN,Isolated,Isolated,N
138476,Fishfry Lake,4.884767019,MN,Isolated,Isolated,N
316866, ,1.093177285,MN,Isolated,Isolated,N
72359, ,2.21869461,MN,Isolated,Isolated,N
136388, ,1.316715943,MN,Isolated,Isolated,N
25712,Bushel Lake,6.1121561,MN,Isolated,Isolated,N
80803,Weapon Lake,2.196671621,MN,Isolated,Isolated,N
316870, ,2.852092244,MN,Isolated,Isolated,N
18230,Sun Lake,5.798934359,MN,Isolated,Isolated,N
49689,Denley Lake,16.71759285,MN,Isolated,Isolated,N
30862,Tony Lake,2.837671292,MN,Isolated,Isolated,N
67317, ,1.1816293,MN,Isolated,Isolated,N
316871, ,1.130631133,MN,Isolated,Isolated,N
38181,Eikala Lake,3.764136395,MN,Isolated,Isolated,N
316872, ,1.1049966,MN,Isolated,Isolated,N
134396,East Moccasin Lake,5.622111036,MN,Isolated,Isolated,N
25728, ,3.408969549,MN,Isolated,Isolated,N
95351,Spruce Lake,30.36379973,MN,Isolated,Isolated,N
21447, ,1.345780761,MN,Isolated,Isolated,N
60042,Bine Lake,5.622938959,MN,Isolated,Isolated,N
316882, ,1.267131404,MN,Isolated,Isolated,N
82902,Alseth Lake,2.224032626,MN,Isolated,Isolated,N
2867,Dunnigan Lake,32.89956109,MN,Isolated,Isolated,N
3550,Highlife Lake,7.356924865,MN,Isolated,Isolated,N
69352, ,1.123588011,MN,Isolated,Isolated,N
316885, ,1.047623022,MN,Isolated,Isolated,N
72375,Ova Lake,10.42058662,MN,Isolated,Isolated,N
42489, ,4.700477999,MN,Isolated,Isolated,N
362,Osier Lake,28.5985202,MN,Isolated,Isolated,N
97442, ,1.240847033,MN,Isolated,Isolated,N
82914, ,1.324845234,MN,Isolated,Isolated,N
27727, ,1.628039055,MN,Isolated,Isolated,N
108669, ,1.603589341,MN,Isolated,Isolated,N
20343, ,3.517745572,MN,Isolated,Isolated,N
133310,Shamrock Lake,21.84458722,MN,Isolated,Isolated,N
126380,Phantom Lake,30.45785242,MN,Isolated,Isolated,N
27730, ,1.995685222,MN,Isolated,Isolated,N
55903, ,3.635473104,MN,Isolated,Isolated,N
28762, ,2.420697863,MN,Isolated,Isolated,N
31953,Doghouse Lake,2.051954666,MN,Isolated,Isolated,N
106596, ,3.38242073,MN,Isolated,Isolated,N
93356,Pear Lake,4.098025091,MN,Isolated,Isolated,N
123274,Fran Lake,8.397489774,MN,Isolated,Isolated,N
56969, ,3.014566922,MN,Isolated,Isolated,N
70376,Bonga Lake,47.15296657,MN,Isolated,Isolated,N
80794, ,1.270126629,MN,Isolated,Isolated,N
32962, ,1.52472897,MN,Isolated,Isolated,N
139473,Baird Lake,12.59032249,MN,Isolated,Isolated,N
23637,Starling Lake,3.415339649,MN,Isolated,Isolated,N
90253, ,3.295281591,MN,Isolated,Isolated,N
50769, ,1.59750385,MN,Isolated,Isolated,N
78758, ,1.813621461,MN,Isolated,Isolated,N
28755, ,1.432440395,MN,Isolated,Isolated,N
37142,Eighteen Lake,42.07673001,MN,Isolated,Isolated,N
316910, ,1.769703923,MN,Isolated,Isolated,N
78760, ,4.110065232,MN,Isolated,Isolated,N
59050,Gypsy Lake,5.988130152,MN,Isolated,Isolated,N
139472, ,1.633126247,MN,Isolated,Isolated,N
40321, ,1.211562476,MN,Isolated,Isolated,N
80819,Alsike Lake,8.03016747,MN,Isolated,Isolated,N
42517,Bandana Lake,2.455765387,MN,Isolated,Isolated,N
94355,Bearskin Lake,10.22147745,MN,Isolated,Isolated,N
11056, ,2.320722978,MN,Isolated,Isolated,N
113788, ,1.580485058,MN,Isolated,Isolated,N
13064,Little Spring Lake,2.522355591,MN,Isolated,Isolated,N
61069, ,1.059147991,MN,Isolated,Isolated,N
94343,West Moccasin Lake,3.140309932,MN,Isolated,Isolated,N
32960, ,3.763403444,MN,Isolated,Isolated,N
27739,Rota Lake,38.5603025,MN,Isolated,Isolated,N
134382,Hogstrom Lake,2.245101538,MN,Isolated,Isolated,N
116945,Acker Lake,3.918828907,MN,Isolated,Isolated,N
