"lagoslakeid","ERL","Unburned","Low","ModLow","ModHigh","High"
"113774",0,0.21,0.16,0.15,0.26,0.22
"133329",0,0.21,0.31,0.25,0.19,0.04
"14101",0,0,0,0.04,0.2,0.75
"15139",0,0.54,0.26,0.09,0.06,0.04
"223",0,0.32,0.17,0.11,0.15,0.25
"27717",0,0.08,0.13,0.14,0.25,0.4
"29814",0,0.27,0.47,0.14,0.1,0.01
"38199",0,0.18,0.2,0.17,0.16,0.29
"414",0,0.19,0.2,0.16,0.24,0.2
"430",0,0.45,0.28,0.12,0.1,0.05
"50749",0,0.1,0.15,0.18,0.26,0.31
"51824",0,0.31,0.24,0.07,0.15,0.23
"52893",0,0.62,0.16,0.06,0.09,0.06
"66295",0,0.14,0.13,0.08,0.14,0.51
"73430",0,0.1,0.22,0.31,0.22,0.15
