"lagoslakeid","lake_waterarea_ha","lake_totalarea_ha","lake_islandarea_ha","lake_perimeter_m","lake_islandperimeter_m","lake_shorelinedevfactor","lake_connectivity_class","lake_connectivity_fluctuates","lake_connectivity_permanent","lake_lakes1ha_upstream_ha","lake_lakes4ha_upstream_ha","lake_lakes10ha_upstream_ha","lake_lakes1ha_upstream_n","lake_lakes4ha_upstream_n","lake_lakes10ha_upstream_n","lake_elevation_m","ws_subtype","ws_focallakewaterarea_ha","ws_area_ha","ws_perimeter_m","ws_lake_arearatio","lake_meanwidth_m","lake_maxdepth_m","Source","Type","Site","climate8110norm_ppt_mmperyr","lakes1ha_all_ha","lakes1ha_all_n","lakes1ha_all_nperha","lakes1ha_all_pct","streams_all_mperha","roads_mperha","area_ha","perimeter_m","soil_clay_pct","soil_coarse_pct","soil_depthtobedrock_cm","soil_kffact","soil_orgcarbon_gperkg","soil_sand_pct","soil_silt_pct","elevation_max_m","elevation_mean_m","elevation_min_m","elevation_sd_m","reliefratio","topographicwetness","tri_m"
63,75.68277218,76.19308552,0.510313346,6229.382038,413.4869576,2.019954169,"DrainageLk","N","DrainageLk",14.8,14.8,14.8,1,1,1,468.5,"IDWS",75.68277,366.6865,19529.57,4.845046,421.2613526,5.789777279,"drainage","control","August Lake",734.234,0,0,0,0,0.212064477,11.6989045,366.6865255,19529.56635,13.0929181316,17.7340532396,894.908588649,0.2350122926,218.284530387,49.1670015068,37.8141637368,540.0407714844,494.9821790547,468.5199584961,19.3412222869,0.3699932852,10.9826124094,3.1059236548
223,533.8002329,535.7176097,1.917376797,17267.71355,812.3245239,2.108339396,"Drainage","N","Drainage",2.9,0,0,1,0,0,542.2000122,"DWS",533.8002,7724.215,107221.8,14.47024,NA,2.133484364,"drainage","sample","Greenwood Lake",748.677,2.9489748032,2,0.000258926,0.0381783092,2.9033283927,2.632316,7724.215309,107221.8168,11.4478165452,19.5447781338,2026.04248378,0.1605669684,214.110258306,54.4714994895,34.0786653992,613.6000053687,557.6340368563,542.5103149634,12.345309839,0.2127414229,13.6146728773,0.5870259344
414,194.6998746,195.3455266,0.645652036,12571.23089,555.7975769,2.541499544,"DrainageLk","N","DrainageLk",28.1,27.1,27.1,2,1,1,515.4000244,"IDWS",194.6999,2302.397,45908.82,11.82536,NA,3.047851324,"drainage","sample","Sand Lake",741.161,0,0,0,0,1.1551146108,7.6043294,2302.396605,45908.81991,11.4545888721,17.8127437714,1874.38653188,0.1625755664,215.967842076,55.046485712,33.4467085887,553.6519775391,529.2912835664,515.3999633789,9.9840676394,0.3631526468,13.773297096,0.7272008554
430,119.485408,119.8748877,0.38947966,13291.32843,410.3803635,3.430093969,"DrainageLk","N","DrainageLk",1364.367568,1352.154099,1313.268405,30,23,17,500,"IDWS",119.4854,2468.841,73583,20.66228,NA,2.02,"drainage","sample","Slate Lake",739.502,18.5858209308,10,0.0040504841,0.7528157154,9.5108139208,14.008256,2468.840719,73582.99992,11.9271445358,16.9933901293,1773.5746181,0.1800000072,225.505581669,52.272657168,35.8044579906,546.3092424797,517.1243356538,500.7118003378,7.8280831545,0.3599442106,12.4847506248,2.1949668843
2867,32.8995613,32.92638469,0.026823386,3552.789927,60.96935272,1.747308319,"Isolated","N","Isolated",0,0,0,0,0,0,505.8999939,"LC",32.89956,36.47361,8892.79,1.108635,335.4148509,4.266373158,"isolated","control","Dunnigan Lake",738.496,0,0,0,0,0,0,36.47361166,8892.789686,15.2753164557,16.7183544304,1536.76265823,0.1800000072,235.306962025,49.914556962,34.5474683544,524.9505615234,511.2304836697,505.8906555176,4.1501037693,0.2801602563,11.8396654529,3.4840999113
3550,7.356923631,7.356923631,0,1085.814834,0,1.129282708,"Isolated","N","Isolated",0,0,0,0,0,0,508.2999878,"LC",7.356924,24.78308,4105.815,3.368674,194.9556549,6.7,"isolated","control","Highlife Lake",740.826,0,0,0,0,0,41.6881437,24.78307611,4105.81484,11.6043956044,16.6263736264,1611.3992674,0.1800000072,249.523809524,51.7289377289,36.5824175824,528.8977050781,515.9545374161,508.25,5.3293797617,0.3731425544,11.7033906175,2.6055635827
3839,48.32786172,48.88243432,0.554572595,4610.804558,501.2187958,1.870996567,"DrainageLk","N","DrainageLk",84.524888,79.370544,79.370544,4,2,2,524,"IDWS",48.32786,564.7861,24893.69,11.68655,401.8449512,3,"drainage","control","Grouse Lake",752.062,5.1543424962,4,0.0070823278,0.9126185732,6.7898456938,20.6108227,564.7860585,24893.68602,11.1288551591,20.5940578072,1821.06297433,0.181809485,211.326336186,53.3649281447,35.4484094946,554.3764389084,536.4647582014,525.7657034877,6.3888221413,0.3739524537,12.2456493388,2.3796795356
14101,5.146035928,5.146035928,0,865.855217,0,1.076723011,"Headwater","N","Headwater",0,0,0,0,0,0,529.0999756,"LC",5.146036,7.705024,2710.015,1.497274,NA,NA,"drainage","sample","Fourth McDougal",750.063,0,0,0,0,0,17.440088,7.705023795,2710.014794,14.5930232558,22.9651162791,1789.70930233,0.1800000072,232.790697674,53.5,31.9069767442,532.0383300781,530.8205694154,529.0700073242,0.925950253,0.5897478935,12.5676843177,1.1020148643
15139,5.889575067,5.889575067,0,1025.825977,0,1.192413186,"DrainageLk","N","DrainageLk",23.1,19.9,13.3,3,2,1,551.7999878,"IDWS",5.889575,11262.54,87507.65,1912.283,NA,NA,"drainage","sample","Unnamed Lake",761.891,9.7992658417,3,0.0002663698,0.087007632,4.6427861598,4.0600221,11262.53597,87507.64571,12.188858924,20.9243443955,2641.66110226,0.1247365239,214.638127096,52.8011299525,35.0003601124,624.1815223045,586.0603295643,559.474484005,12.3863156721,0.4108648187,13.9381260126,0.5466923699
20349,48.74082186,48.74082186,0,5549.004555,0,2.242145226,"DrainageLk","N","DrainageLk",13.291601,11.135097,11.135097,2,1,1,518.2000122,"IDWS",48.74082,390.0292,24029.01,8.002105,358.908669,1.523925662,"drainage","control","Gander Lake",747.52,2.1565034755,2,0.0051278216,0.5529082588,0.5743274397,14.149558,390.0291714,24029.00564,11.80009298,21.1039051604,1657.73523942,0.1842027713,224.129009763,52.9825662483,35.2017666202,555.3538812734,530.3161215646,516.1027119017,7.6841828302,0.3621142985,11.9966809589,1.9925980985
