"lagoslakeid","climate8110norm_ppt_mmperyr","lakes1ha_all_ha","lakes1ha_all_n","lakes1ha_all_nperha","lakes1ha_all_pct","streams_all_mperha","roads_mperha","area_ha","perimeter_m","soil_clay_pct","soil_coarse_pct","soil_depthtobedrock_cm","soil_kffact","soil_orgcarbon_gperkg","soil_sand_pct","soil_silt_pct","elevation_max_m","elevation_mean_m","elevation_min_m","elevation_sd_m","reliefratio","topographicwetness","tri_m"
"102493","748.251","8.3012123927","3","0.0098041419","2.712875482","5.2021997643",5.6869946,305.9931269,17568.66786,"10.7667450059","19.0417156287","1672.15951821","0.1800000072","206.689482961","53.4048178613","35.7720329025","546.4644131151","528.4371590710","520.3931840836","4.7898044187","0.3085383883","12.1712292056","2.3070749672"
"113774","755.958","0","0","0","0","2.7167454863",7.274003,2842.151458,44724.52549,"12.0809575211","19.4611721379","1895.59772049","0.144634559","222.886945203","50.617626516","37.3272271255","631.8474121094","562.0801867002","539.5000000000","16.4279442880","0.2445134756","12.7579038337","1.0488732062"
"121215","756.844","1.3457803619","3","0.0006208659","0.0278516361","4.9170335295",14.8092409,4831.961609,68153.51637,"12.6109031309","21.739509415","2248.43673986","0.1809860177","228.292376748","50.9356502952","36.4338715986","627.4923853041","595.7569207542","538.4198567713","15.6285320592","0.6437120954","12.5601978771","1.3915376564"
"127093","756.027","0","0","0","0","7.605318709",44.7684163,35.83367042,4783.384633,"10.3618090452","22.1859296482","1900.85929648","0.1800000072","215.876884422","53.1557788945","36.4824120603","554.9625854492","543.4903901833","534.2919921875","4.5365235750","0.4449992257","11.432797777","2.8569369511"
"133329","740.307","3.8927055276","4","0.0297002322","2.8903564493","12.7276854311",6.9180099,134.6790786,14530.94094,"12.9650249822","19.0563882941","1674.73019272","0.1800000072","260.400428266","51.8872234118","35.0635260528","533.4721063666","516.0941115128","512.1900024414","3.6934772147","0.1834456351","12.9356299719","2.1052239502"
"139473","736.379","0","0","0","0","0",0,39.45967661,5724.154878,"11.1525423729","18.2663438257","958.493946731","0.1800000072","211.474576271","54.2251815981","34.6319612591","502.0237731934","493.6370986556","488.7755432129","3.0661639431","0.3669588654","11.3210723894","1.6745895014"
"14101","750.063","0","0","0","0","0",17.440088,7.705023795,2710.014794,"14.5930232558","22.9651162791","1789.70930233","0.1800000072","232.790697674","53.5","31.9069767442","532.0383300781","530.8205694154","529.0700073242","0.9259502530","0.5897478935","12.5676843177","1.1020148643"
"15139","761.891","9.7992658417","3","0.0002663698","0.087007632","4.6427861598",4.0600221,11262.53597,87507.64571,"12.188858924","20.9243443955","2641.66110226","0.1247365239","214.638127096","52.8011299525","35.0003601124","624.1815223045","586.0603295643","559.4744840050","12.3863156721","0.4108648187","13.9381260126","0.5466923699"
"20349","747.520","2.1565034755","2","0.0051278216","0.5529082588","0.5743274397",14.149558,390.0291714,24029.00564,"11.80009298","21.1039051604","1657.73523942","0.1842027713","224.129009763","52.9825662483","35.2017666202","555.3538812734","530.3161215646","516.1027119017","7.6841828302","0.3621142985","11.9966809589","1.9925980985"
"21441","755.759","9.8266127483","5","0.0038235523","0.7514513529","4.9698161009",14.9568925,1307.684485,36381.86304,"11.6549364614","20.9851975981","1772.12323698","0.1800000072","218.773914258","52.1605222734","36.172392124","598.0950553044","553.2719608438","526.5009362180","16.6387146034","0.3739277048","11.7346795981","2.3118879149"
"223","748.677","2.9489748032","2","0.000258926","0.0381783092","2.9033283927",2.632316,7724.215309,107221.8168,"11.4478165452","19.5447781338","2026.04248378","0.1605669684","214.110258306","54.4714994895","34.0786653992","613.6000053687","557.6340368563","542.5103149634","12.3453098390","0.2127414229","13.6146728773","0.5870259344"
"27717","751.286","0","0","0","0","0.0332453998",42.5405153,139.6248458,12849.06866,"13.0256959315","21.8329764454","1605.55960029","0.1800000072","250.63668808","52.9172019986","33.9850107066","558.3145141602","536.7936723246","529.0520019531","8.1389392134","0.2645593214","12.7113125617","1.2570271614"
"2867","738.496","0","0","0","0","0",0,36.47361166,8892.789686,"15.2753164557","16.7183544304","1536.76265823","0.1800000072","235.306962025","49.914556962","34.5474683544","524.9505615234","511.2304836697","505.8906555176","4.1501037693","0.2801602563","11.8396654529","3.4840999113"
"29814","749.705","0","0","0","0","0",14.4447969,851.9476363,21842.81957,"10.6927143915","20.3555038596","1960.96510521","0.1876874329","209.469176272","54.1742624511","35.1179020831","568.4282226563","541.0898443244","525.3500366211","6.5959350283","0.3653776807","13.0612377274","1.197958997"
"30871","742.825","0","0","0","0","7.6029669734",14.2868517,158.8878466,12736.73047,"11.3294596165","17.1783846601","1560.91748983","0.1800000072","207.901220221","54.3259732714","34.4073213248","532.8830566406","519.0396508706","511.6900024414","5.1463556674","0.3467951509","12.749881543","2.6363317386"
"3550","740.826","0","0","0","0","0",41.6881437,24.78307611,4105.81484,"11.6043956044","16.6263736264","1611.3992674","0.1800000072","249.523809524","51.7289377289","36.5824175824","528.8977050781","515.9545374161","508.2500000000","5.3293797617","0.3731425544","11.7033906175","2.6055635827"
"37142","764.333","0","0","0","0","0",19.2948767,239.65326,16529.45233,"12.4431955038","25.6684062625","1918.74909675","0.1800000072","251.295865114","51.5403452429","35.8795664392","608.1702880859","587.2912980703","574.0390014648","8.2526110893","0.3882741589","11.6528174516","2.4029826206"
"38199","750.109","5.146035596","5","0.0047133533","0.4851016819","6.5502821001",11.2502085,1060.815856,40957.83711,"12.3901779484","19.837927425","1797.60894976","0.1784461309","218.596127006","52.4371074669","35.1924284717","569.4918834644","542.5352764960","528.9012051025","10.1906775320","0.3358916861","13.6011328749","1.3360271715"
"3839","752.062","5.1543424962","4","0.0070823278","0.9126185732","6.7898456938",20.6108227,564.7860585,24893.68602,"11.1288551591","20.5940578072","1821.06297433","0.181809485","211.326336186","53.3649281447","35.4484094946","554.3764389084","536.4647582014","525.7657034877","6.3888221413","0.3739524537","12.2456493388","2.3796795356"
"414","741.161","0","0","0","0","1.1551146108",7.6043294,2302.396605,45908.81991,"11.4545888721","17.8127437714","1874.38653188","0.1625755664","215.967842076","55.046485712","33.4467085887","553.6519775391","529.2912835664","515.3999633789","9.9840676394","0.3631526468","13.773297096","0.7272008554"
"430","739.502","18.5858209308","10","0.0040504841","0.7528157154","9.5108139208",14.008256,2468.840719,73582.99992,"11.9271445358","16.9933901293","1773.5746181","0.1800000072","225.505581669","52.272657168","35.8044579906","546.3092424797","517.1243356538","500.7118003378","7.8280831545","0.3599442106","12.4847506248","2.1949668843"
"50749","743.407","2.9370981854","5","0.0008464361","0.0497213213","3.7324728939",5.2708018,5907.120147,90460.36352,"11.2228706745","18.7627683141","1927.0275762","0.1752904937","222.107692308","53.5921625544","35.1691696585","566.5539865475","535.6540762943","519.2740725117","7.8535037774","0.3464474104","13.635378221","0.8209629456"
"51824","761.923","0","0","0","0","0",0,80.18626174,7040.991567,"12.9423728814","18.9920903955","1966.28022599","0.0616949162","226.601129944","49.995480226","37.193220339","580.9755249023","562.1260257355","557.6380004883","5.0696281447","0.1923093970","12.7705858953","0.7408808962"
"57275","789.095","0","0","0","0","3.6467839627",15.2558228,517.2789761,24638.03638,"11.6546455854","20.7997868183","2719.04814354","0.2094052181","222.612719844","54.397050986","33.9157932137","629.5620727539","592.6643938094","584.1499633789","6.6574153518","0.1874925113","12.8772425516","1.0788159961"
"58010","752.332","0","0","0","0","0",33.9976526,68.50346699,10541.85556,"12.2578397213","20.7926829268","1474.57839721","0.1800000072","244.580139373","52.7386759582","34.9703832753","539.7187500000","528.8023181392","517.9071044922","3.6656705009","0.4995136036","11.8297507579","2.6049720818"
"59050","738.361","0","0","0","0","0",30.0306905,49.49186876,5468.193892,"16.0769230769","14.2271062271","1590.09340659","0.1800000072","192.743589744","47.6245421245","36.4688644689","524.0696411133","510.3964655567","506.3479003906","2.7583175076","0.2284518902","11.9473998844","2.0612381395"
