"","lagoslakeid","lake_waterarea_ha","lake_totalarea_ha","lake_islandarea_ha","lake_perimeter_m","lake_islandperimeter_m","lake_shorelinedevfactor","lake_meanwidth_m","lake_connectivity_class","lake_connectivity_fluctuates","lake_connectivity_permanent","lake_lakes1ha_upstream_ha","lake_lakes4ha_upstream_ha","lake_lakes10ha_upstream_ha","lake_lakes1ha_upstream_n","lake_lakes4ha_upstream_n","lake_lakes10ha_upstream_n","lake_elevation_m","ws_subtype","ws_focallakewaterarea_ha","ws_area_ha","ws_perimeter_m","ws_lake_arearatio","Type","Site","combined_connectivity_class","X.y","max_temp_degc","min_temp_degc","mean_temp_degc","climate8110norm_ppt_mmperyr","lakes1ha_all_ha","lakes1ha_all_n","lakes1ha_all_nperha","lakes1ha_all_pct","streams_all_mperha","roads_mperha","area_ha","perimeter_m","soil_clay_pct","soil_coarse_pct","soil_depthtobedrock_cm","soil_kffact","soil_orgcarbon_gperkg","soil_sand_pct","soil_silt_pct","elevation_max_m","elevation_mean_m","elevation_min_m","elevation_sd_m","reliefratio","topographicwetness","tri_m","nlcd_fordec41_pct","nlcd_forcon42_pct","nlcd_formix43_pct","nlcd_wetwood90_pct","nlcd_wetemerg95_pct"
"1",63,75.6827721768,76.1930855223,0.5103133455,6229.38203812,413.48695755,2.0199541687,421.261352633,"DrainageLk","N","DrainageLk",14.8,14.8,14.8,1,1,1,468.5,"IDWS",75.68277,366.6865,19529.57,4.845046,"control","August Lake","Drainage",1,9.377083778,-2.962871552,3.207106352,734.234,0,0,0,0,0.212064477,11.6989045,366.6865255,19529.56635,13.0929181316,17.7340532396,894.908588649,0.2350122926,218.284530387,49.1670015068,37.8141637368,540.0407714844,494.9821790547,468.5199584961,19.3412222869,0.3699932852,10.9826124094,3.1059236548,0.0983284169,29.5476892822,34.9803343166,24.3854473943,0.1229105211
"2",223,533.800232864,535.717609661,1.9173767968,17267.7135468,812.324523926,2.1083393961,NA,"Drainage","N","Drainage",2.9,0,0,1,0,0,542.200012207,"DWS",533.8002,7724.215,107221.8,14.47024,"sample","Greenwood Lake","Drainage",2,9.243849754,-3.022675276,3.110587359,748.677,2.9489748032,2,0.000258926,0.0381783092,2.9033283927,2.632316,7724.215309,107221.8168,11.4478165452,19.5447781338,2026.04248378,0.1605669684,214.110258306,54.4714994895,34.0786653992,613.6000053687,557.6340368563,542.5103149634,12.345309839,0.2127414229,13.6146728773,0.5870259344,2.2715888308,17.2698997006,12.6614866675,61.9211816922,0.6383747073
"3",414,194.699874577,195.345526613,0.6456520363,12571.2308884,555.797576904,2.5414995437,NA,"DrainageLk","N","DrainageLk",28.1,27.1,27.1,2,1,1,515.400024414,"IDWS",194.6999,2302.397,45908.82,11.82536,"sample","Sand Lake","Drainage",3,9.297613144,-3.027196646,3.13520813,741.161,0,0,0,0,1.1551146108,7.6043294,2302.396605,45908.81991,11.4545888721,17.8127437714,1874.38653188,0.1625755664,215.967842076,55.046485712,33.4467085887,553.6519775391,529.2912835664,515.3999633789,9.9840676394,0.3631526468,13.773297096,0.7272008554,0.2697947214,34.889540567,12.1446725318,46.7605083089,1.5992179863
"4",430,119.485408048,119.874887708,0.3894796602,13291.3284302,410.380363464,3.430093969,NA,"DrainageLk","N","DrainageLk",1364.367568,1352.154099,1313.268405,30,23,17,500,"IDWS",119.4854,2468.841,73583,20.66228,"sample","Slate Lake","Drainage",4,9.332740784,-2.94155097,3.195594788,739.502,18.5858209308,10,0.0040504841,0.7528157154,9.5108139208,14.008256,2468.840719,73582.99992,11.9271445358,16.9933901293,1773.5746181,0.1800000072,225.505581669,52.272657168,35.8044579906,546.3092424797,517.1243356538,500.7118003378,7.8280831545,0.3599442106,12.4847506248,2.1949668843,8.0024791279,21.4882059134,25.4766852601,34.7879981042,0.663531299
"5",2867,32.8995613031,32.926384689,0.0268233858,3552.78992653,60.9693527222,1.7473083194,335.414850869,"Isolated","N","Isolated",0,0,0,0,0,0,505.899993897,"LC",32.89956,36.47361,8892.79,1.108635,"control","Dunnigan Lake","Isolated",5,9.344161987,-2.94559288,3.199284554,738.496,0,0,0,0,0,0,36.47361166,8892.789686,15.2753164557,16.7183544304,1536.76265823,0.1800000072,235.306962025,49.914556962,34.5474683544,524.9505615234,511.2304836697,505.8906555176,4.1501037693,0.2801602563,11.8396654529,3.4840999113,32.5925925926,3.950617284,23.4567901235,36.049382716,0.2469135802
"6",3550,7.3569236312,7.3569236312,0,1085.81483364,0,1.1292827078,194.955654906,"Isolated","N","Isolated",0,0,0,0,0,0,508.299987793,"LC",7.356924,24.78308,4105.815,3.368674,"control","Highlife Lake","Isolated",6,9.320251465,-2.944917917,3.187666655,740.826,0,0,0,0,0,41.6881437,24.78307611,4105.81484,11.6043956044,16.6263736264,1611.3992674,0.1800000072,249.523809524,51.7289377289,36.5824175824,528.8977050781,515.9545374161,508.25,5.3293797617,0.3731425544,11.7033906175,2.6055635827,0,7.6923076923,25.641025641,47.619047619,0.3663003663
"7",3839,48.3278617226,48.8824343172,0.5545725946,4610.8045578,501.218795776,1.8709965672,401.844951238,"DrainageLk","N","DrainageLk",84.524888,79.370544,79.370544,4,2,2,524,"IDWS",48.32786,564.7861,24893.69,11.68655,"control","Grouse Lake","Drainage",7,9.281118393,-2.941599608,3.169759035,752.062,5.1543424962,4,0.0070823278,0.9126185732,6.7898456938,20.6108227,564.7860585,24893.68602,11.1288551591,20.5940578072,1821.06297433,0.181809485,211.326336186,53.3649281447,35.4484094946,554.3764389084,536.4647582014,525.7657034877,6.3888221413,0.3739524537,12.2456493388,2.3796795356,0.5744375299,51.2525929472,23.2806765598,18.2064783788,0.0319131961
"8",14101,5.1460359282,5.1460359282,0,865.85521698,0,1.0767230112,NA,"Headwater","N","Headwater",0,0,0,0,0,0,529.099975586,"LC",5.146036,7.705024,2710.015,1.497274,"sample","Fourth McDougal","Isolated",8,9.267578125,-2.963897944,3.151839972,750.063,0,0,0,0,0,17.440088,7.705023795,2710.014794,14.5930232558,22.9651162791,1789.70930233,0.1800000072,232.790697674,53.5,31.9069767442,532.0383300781,530.8205694154,529.0700073242,0.925950253,0.5897478935,12.5676843177,1.1020148643,0,54.6511627907,9.3023255814,29.0697674419,0
"9",15139,5.8895750667,5.8895750667,0,1025.82597733,0,1.1924131864,NA,"DrainageLk","N","DrainageLk",23.1,19.9,13.3,3,2,1,551.799987793,"IDWS",5.889575,11262.54,87507.65,1912.283,"sample","Unnamed Lake","Drainage",9,9.199112892,-2.887644291,3.155734062,761.891,9.7992658417,3,0.0002663698,0.087007632,4.6427861598,4.0600221,11262.53597,87507.64571,12.188858924,20.9243443955,2641.66110226,0.1247365239,214.638127096,52.8011299525,35.0003601124,624.1815223045,586.0603295643,559.474484005,12.3863156721,0.4108648187,13.9381260126,0.5466923699,0.3100205349,13.8174873954,12.3185221289,70.1637196072,0.4858053742
"10",20349,48.7408218633,48.7408218633,0,5549.00455475,0,2.2421452262,358.908669049,"DrainageLk","N","DrainageLk",13.291601,11.135097,11.135097,2,1,1,518.200012207,"IDWS",48.74082,390.0292,24029.01,8.002105,"control","Gander Lake","Drainage",10,9.293738365,-2.936616182,3.178560972,747.52,2.1565034755,2,0.0051278216,0.5529082588,0.5743274397,14.149558,390.0291714,24029.00564,11.80009298,21.1039051604,1657.73523942,0.1842027713,224.129009763,52.9825662483,35.2017666202,555.3538812734,530.3161215646,516.1027119017,7.6841828302,0.3621142985,11.9966809589,1.9925980985,3.1566820276,43.9170506912,21.9124423963,26.3594470046,0.1612903226
