,lagoslakeid,Site,climate8110norm_ppt_mmperyr,lakes1ha_all_ha,lakes1ha_all_n,lakes1ha_all_nperha,lakes1ha_all_pct,streams_all_mperha,roads_mperha,area_ha,perimeter_m,soil_clay_pct,soil_coarse_pct,soil_depthtobedrock_cm,soil_kffact,soil_orgcarbon_gperkg,soil_sand_pct,soil_silt_pct,elevation_max_m,elevation_mean_m,elevation_min_m,elevation_sd_m,reliefratio,topographicwetness,tri_m,nlcd_fordec41_pct,nlcd_forcon42_pct,nlcd_formix43_pct,nlcd_wetwood90_pct,nlcd_wetemerg95_pct,lake_waterarea_ha,lake_totalarea_ha,lake_islandarea_ha,lake_perimeter_m,lake_islandperimeter_m,lake_shorelinedevfactor,lake_connectivity_class,lake_connectivity_fluctuates,lake_connectivity_permanent,lake_lakes1ha_upstream_ha,lake_lakes4ha_upstream_ha,lake_lakes10ha_upstream_ha,lake_lakes1ha_upstream_n,lake_lakes4ha_upstream_n,lake_lakes10ha_upstream_n,lake_elevation_m,ws_subtype,ws_focallakewaterarea_ha,ws_area_ha,ws_perimeter_m,ws_lake_arearatio,lake_meanwidth_m,lake_maxdepth_m,type,source
1,63,August Lake,734.234,0,0,0,0,0.212064477,11.6989045,366.6865255,19529.56635,13.09291813,17.73405324,894.9085886,0.235012293,218.2845304,49.16700151,37.81416374,540.0407715,494.9821791,468.5199585,19.34122229,0.369993285,10.98261241,3.105923655,0.098328417,29.54768928,34.98033432,24.38544739,0.122910521,75.68277218,76.19308552,0.510313346,6229.382038,413.4869576,2.019954169,DrainageLk,N,DrainageLk,14.8,14.8,14.8,1,1,1,468.5,IDWS,75.68277,366.6865,19529.57,4.845046,421.2613526,5.789777279,control,drainage
2,223,Greenwood Lake,748.677,2.948974803,2,0.000258926,0.038178309,2.903328393,2.632316,7724.215309,107221.8168,11.44781655,19.54477813,2026.042484,0.160566968,214.1102583,54.47149949,34.0786654,613.6000054,557.6340369,542.510315,12.34530984,0.212741423,13.61467288,0.587025934,2.271588831,17.2698997,12.66148667,61.92118169,0.638374707,533.8002329,535.7176097,1.917376797,17267.71355,812.3245239,2.108339396,Drainage,N,Drainage,2.9,0,0,1,0,0,542.2000122,DWS,533.8002,7724.215,107221.8,14.47024,NA,2.133484364,burned,drainage
3,414,Sand Lake,741.161,0,0,0,0,1.155114611,7.6043294,2302.396605,45908.81991,11.45458887,17.81274377,1874.386532,0.162575566,215.9678421,55.04648571,33.44670859,553.6519775,529.2912836,515.3999634,9.984067639,0.363152647,13.7732971,0.727200855,0.269794721,34.88954057,12.14467253,46.76050831,1.599217986,194.6998746,195.3455266,0.645652036,12571.23089,555.7975769,2.541499544,DrainageLk,N,DrainageLk,28.1,27.1,27.1,2,1,1,515.4000244,IDWS,194.6999,2302.397,45908.82,11.82536,NA,3.047851324,burned,drainage
4,430,Slate Lake,739.502,18.58582093,10,0.004050484,0.752815715,9.510813921,14.008256,2468.840719,73582.99992,11.92714454,16.99339013,1773.574618,0.180000007,225.5055817,52.27265717,35.80445799,546.3092425,517.1243357,500.7118003,7.828083155,0.359944211,12.48475062,2.194966884,8.002479128,21.48820591,25.47668526,34.7879981,0.663531299,119.485408,119.8748877,0.38947966,13291.32843,410.3803635,3.430093969,DrainageLk,N,DrainageLk,1364.367568,1352.154099,1313.268405,30,23,17,500,IDWS,119.4854,2468.841,73583,20.66228,NA,2.02,burned,drainage
5,2867,Dunnigan Lake,738.496,0,0,0,0,0,0,36.47361166,8892.789686,15.27531646,16.71835443,1536.762658,0.180000007,235.306962,49.91455696,34.54746835,524.9505615,511.2304837,505.8906555,4.150103769,0.280160256,11.83966545,3.484099911,32.59259259,3.950617284,23.45679012,36.04938272,0.24691358,32.8995613,32.92638469,0.026823386,3552.789927,60.96935272,1.747308319,Isolated,N,Isolated,0,0,0,0,0,0,505.8999939,LC,32.89956,36.47361,8892.79,1.108635,335.4148509,4.266373158,control,isolated
6,3550,Highlife Lake,740.826,0,0,0,0,0,41.6881437,24.78307611,4105.81484,11.6043956,16.62637363,1611.399267,0.180000007,249.5238095,51.72893773,36.58241758,528.8977051,515.9545374,508.25,5.329379762,0.373142554,11.70339062,2.605563583,0,7.692307692,25.64102564,47.61904762,0.366300366,7.356923631,7.356923631,0,1085.814834,0,1.129282708,Isolated,N,Isolated,0,0,0,0,0,0,508.2999878,LC,7.356924,24.78308,4105.815,3.368674,194.9556549,6.7,control,isolated
7,3839,Grouse Lake,752.062,5.154342496,4,0.007082328,0.912618573,6.789845694,20.6108227,564.7860585,24893.68602,11.12885516,20.59405781,1821.062974,0.181809485,211.3263362,53.36492814,35.44840949,554.3764389,536.4647582,525.7657035,6.388822141,0.373952454,12.24564934,2.379679536,0.57443753,51.25259295,23.28067656,18.20647838,0.031913196,48.32786172,48.88243432,0.554572595,4610.804558,501.2187958,1.870996567,DrainageLk,N,DrainageLk,84.524888,79.370544,79.370544,4,2,2,524,IDWS,48.32786,564.7861,24893.69,11.68655,401.8449512,3,control,drainage
8,14101,Fourth McDougal,750.063,0,0,0,0,0,17.440088,7.705023795,2710.014794,14.59302326,22.96511628,1789.709302,0.180000007,232.7906977,53.5,31.90697674,532.0383301,530.8205694,529.0700073,0.925950253,0.589747894,12.56768432,1.102014864,0,54.65116279,9.302325581,29.06976744,0,5.146035928,5.146035928,0,865.855217,0,1.076723011,Headwater,N,Headwater,0,0,0,0,0,0,529.0999756,LC,5.146036,7.705024,2710.015,1.497274,NA,NA,burned,isolated
9,15139,Unnamed Lake,761.891,9.799265842,3,0.00026637,0.087007632,4.64278616,4.0600221,11262.53597,87507.64571,12.18885892,20.9243444,2641.661102,0.124736524,214.6381271,52.80112995,35.00036011,624.1815223,586.0603296,559.474484,12.38631567,0.410864819,13.93812601,0.54669237,0.310020535,13.8174874,12.31852213,70.16371961,0.485805374,5.889575067,5.889575067,0,1025.825977,0,1.192413186,DrainageLk,N,DrainageLk,23.1,19.9,13.3,3,2,1,551.7999878,IDWS,5.889575,11262.54,87507.65,1912.283,NA,NA,burned,drainage
10,20349,Gander Lake,747.52,2.156503476,2,0.005127822,0.552908259,0.57432744,14.149558,390.0291714,24029.00564,11.80009298,21.10390516,1657.735239,0.184202771,224.1290098,52.98256625,35.20176662,555.3538813,530.3161216,516.1027119,7.68418283,0.362114299,11.99668096,1.992598099,3.156682028,43.91705069,21.9124424,26.359447,0.161290323,48.74082186,48.74082186,0,5549.004555,0,2.242145226,DrainageLk,N,DrainageLk,13.291601,11.135097,11.135097,2,1,1,518.2000122,IDWS,48.74082,390.0292,24029.01,8.002105,358.908669,1.523925662,control,drainage
11,21441,Mitawan Lake,755.759,9.826612748,5,0.003823552,0.751451353,4.969816101,14.9568925,1307.684485,36381.86304,11.65493646,20.9851976,1772.123237,0.180000007,218.7739143,52.16052227,36.17239212,598.0950553,553.2719608,526.5009362,16.6387146,0.373927705,11.7346796,2.311887915,1.499312242,43.76891334,35.02751032,11.91884457,0.550206327,77.33218651,77.33218651,0,7268.580914,0,2.331656399,Drainage,N,Drainage,7.581512,6.207376,0,2,1,0,524,DWS,77.33219,1307.684,36381.86,16.90996,419.5089732,6,control,drainage
12,27717,Middle McDougal,751.286,0,0,0,0,0.0332454,42.5405153,139.6248458,12849.06866,13.02569593,21.83297645,1605.5596,0.180000007,250.6366881,52.917202,33.98501071,558.3145142,536.7936723,529.052002,8.138939213,0.264559321,12.71131256,1.257027161,1.674179008,31.42305216,29.16934965,27.30199614,0.450740502,41.01887933,43.03881636,2.019937032,4457.010746,890.7322884,1.96312005,Headwater,N,Headwater,0,0,0,0,0,0,529.0999756,LC,41.01888,139.6248,12849.07,3.403917,NA,1,burned,isolated
13,29814,Teamster Lake,749.705,0,0,0,0,0,14.4447969,851.9476363,21842.81957,10.69271439,20.35550386,1960.965105,0.187687433,209.4691763,54.17426245,35.11790208,568.4282227,541.0898443,525.3500366,6.595935028,0.365377681,13.06123773,1.197958997,1.268901343,29.88262663,14.58179127,46.34662155,0.507560537,1.072353568,1.072353568,0,402.818948,0,1.097326237,Isolated,N,Isolated,0,0,0,0,0,0,525.4000244,LC,1.072354,851.9476,21842.82,794.4652,NA,NA,burned,isolated
14,30871,Two Deer Lake,742.825,0,0,0,0,7.602966973,14.2868517,158.8878466,12736.73047,11.32945962,17.17838466,1560.91749,0.180000007,207.9012202,54.32597327,34.40732132,532.8830566,519.0396509,511.6900024,5.146355667,0.346795151,12.74988154,2.636331739,12.68403171,13.98640997,34.71121178,33.2389581,0,18.05215402,18.05215402,0,2036.730766,0,1.352272329,DrainageLk,N,DrainageLk,31.81168,31.81168,31.81168,1,1,1,511.7000122,IDWS,18.05215,158.8878,12736.73,8.8016,255.3836243,2.2,control,drainage
15,37142,Eighteen Lake,764.333,0,0,0,0,0,19.2948767,239.65326,16529.45233,12.4431955,25.66840626,1918.749097,0.180000007,251.2958651,51.54034524,35.87956644,608.1702881,587.2912981,574.0390015,8.252611089,0.388274159,11.65281745,2.402982621,4.998121007,38.70725291,40.58624577,6.012777151,0.037579857,42.07673024,42.07673024,0,4029.453278,0,1.752347373,Isolated,N,Isolated,0,0,0,0,0,0,575.0999756,LC,42.07673,239.6533,16529.45,5.695625,322.3013159,3.6,control,isolated
16,38199,North McDougal,750.109,5.146035596,5,0.004713353,0.485101682,6.5502821,11.2502085,1060.815856,40957.83711,12.39017795,19.83792743,1797.60895,0.178446131,218.596127,52.43710747,35.19242847,569.4918835,542.5352765,528.9012051,10.19067753,0.335891686,13.60113287,1.336027172,2.980385497,21.01553876,18.34932496,46.87951091,0.492485353,104.9038011,105.5525895,0.648788329,7710.186481,330.9130669,2.123559009,DrainageLk,N,DrainageLk,200,196.8,179.2,8,7,4,528.9000244,IDWS,104.9038,1060.816,40957.84,10.11227,NA,3.959545851,burned,drainage
17,50749,Stony Lake,743.407,2.937098185,5,0.000846436,0.049721321,3.732472894,5.2708018,5907.120147,90460.36352,11.22287067,18.76276831,1927.027576,0.175290494,222.1076923,53.59216255,35.16916966,566.5539865,535.6540763,519.2740725,7.853503777,0.34644741,13.63537822,0.820962946,0.809068885,22.63412107,9.948042846,60.93309564,1.481007451,101.0935343,101.0935343,0,14730.31235,0,4.132808946,DrainageLk,N,DrainageLk,762.4,755.6,755.6,7,3,3,516.5999756,IDWS,101.0935,5907.12,90460.36,58.43223,NA,NA,burned,drainage
18,51824,Fishtrap Lake,761.923,0,0,0,0,0,0,80.18626174,7040.991567,12.94237288,18.9920904,1966.280226,0.061694916,226.6011299,49.99548023,37.19322034,580.9755249,562.1260257,557.6380005,5.069628145,0.192309397,12.7705859,0.740880896,6.779661017,2.372881356,17.51412429,65.87570621,2.259887006,9.353737724,9.353737724,0,1320.991635,0,1.218435522,Isolated,N,Isolated,0,0,0,0,0,0,557.7000122,LC,9.353738,80.18626,7040.992,8.572644,NA,NA,burned,isolated
19,57275,Cloquet Lake,789.095,0,0,0,0,3.646783963,15.2558228,517.2789761,24638.03638,11.65464559,20.79978682,2719.048144,0.209405218,222.6127198,54.39705099,33.91579321,629.5620728,592.6643938,584.1499634,6.657415352,0.187492511,12.87724255,1.078815996,0.226086957,10.06956522,33.54782609,52.7826087,0.139130435,73.69213709,73.69213709,0,5030.658245,0,1.653138749,DrainageLk,N,DrainageLk,27.3,27.3,27.3,1,1,1,584.0999756,IDWS,73.69213709,517.2789761,24638.03638,7.019459558,451.7978947,2.132303953,control,drainage
20,58010,Kitigan Lake,752.332,0,0,0,0,0,33.9976526,68.50346699,10541.85556,12.25783972,20.79268293,1474.578397,0.180000007,244.5801394,52.73867596,34.97038328,539.71875,528.8023181,517.9071045,3.665670501,0.499513604,11.82975076,2.604972082,0,46.53594771,34.24836601,8.235294118,0.130718954,28.69478444,28.8693092,0.174524757,4495.898724,331.7775726,2.367609689,DrainageLk,N,DrainageLk,84.913698,83.539562,77.332186,3,2,1,524,IDWS,28.69478,68.50347,10541.86,2.387314,242.6692762,1,control,drainage
21,59050,Gypsy Lake,738.361,0,0,0,0,0,30.0306905,49.49186876,5468.193892,16.07692308,14.22710623,1590.093407,0.180000007,192.7435897,47.62454212,36.46886447,524.0696411,510.3964656,506.3479004,2.758317508,0.22845189,11.94739988,2.06123814,20.43399638,1.265822785,11.93490054,56.78119349,0,5.988131053,5.988131053,0,1068.194032,0,1.231401277,Isolated,N,Isolated,0,0,0,0,0,0,507.3999939,LC,5.988131,49.49187,5468.194,8.264994,160.1814023,3,control,isolated
