"Year","min_logChl","median_logChl","mean_logChl","max_logChl","nSamples","lagoslakeid","Type","Site"
1984,0.775132161871822,0.962648138825372,0.967083638733879,1.09877640990289,35,15139,"Burned","Unnamed Lake"
1985,0.558264276383239,0.753421902146335,0.772585926104772,1.01928377949403,25,15139,"Burned","Unnamed Lake"
1986,0.576607389924132,0.857795228442712,0.814530672366384,1.00883536092515,45,15139,"Burned","Unnamed Lake"
1987,0.708830015530077,0.866874645470878,0.880798363661514,1.07852151316478,30,15139,"Burned","Unnamed Lake"
1988,0.716998594227864,0.86789423866762,0.850545817337303,0.943797697363591,30,15139,"Burned","Unnamed Lake"
1989,0.436612889722849,0.787131645272186,0.765268173165839,0.985678929334716,35,15139,"Burned","Unnamed Lake"
1990,0.759356397748328,0.907187213549464,0.920855756299339,1.10326162697861,55,15139,"Burned","Unnamed Lake"
1991,0.537254139573229,0.813708831417102,0.802212056967766,0.978062710315443,35,15139,"Burned","Unnamed Lake"
1992,0.720677059002539,0.734509550980382,0.810298566086707,0.9757090882772,15,15139,"Burned","Unnamed Lake"
1993,0.820704320168381,0.975152840297803,0.957039120489064,1.03402520951022,35,15139,"Burned","Unnamed Lake"
1994,0.801226677011811,0.805531898599929,0.874857394005817,1.01781360640571,15,15139,"Burned","Unnamed Lake"
1995,0.516814246817872,0.875530295699657,0.82081993946716,1.09025119737985,35,15139,"Burned","Unnamed Lake"
1996,0.800443711923298,0.847154500230428,0.845898968699025,0.888843162411948,20,15139,"Burned","Unnamed Lake"
1997,0.615788221127951,0.700158585327964,0.731688769173503,0.879119501064595,15,15139,"Burned","Unnamed Lake"
1998,0.676724737441592,0.937482965545469,0.871172306903883,0.99995318642305,30,15139,"Burned","Unnamed Lake"
1999,0.501385988057108,0.501385988057108,0.501385988057108,0.501385988057108,5,15139,"Burned","Unnamed Lake"
2000,0.643255479101498,0.698078730483587,0.720263938246648,0.841642812917921,20,15139,"Burned","Unnamed Lake"
2001,0.702367081519741,0.79040871853866,0.799323571823325,0.91987015703548,30,15139,"Burned","Unnamed Lake"
2002,0.477326154474592,0.77109677675801,0.741302292778044,0.850767689102342,45,15139,"Burned","Unnamed Lake"
2003,0.529755640644517,0.807714715981093,0.785217362730766,0.911159325963129,25,15139,"Burned","Unnamed Lake"
2004,0.660775638141104,0.790090496878999,0.79755778250714,0.949274498129459,20,15139,"Burned","Unnamed Lake"
2005,0.810630922988099,0.93984711668176,0.901415445706364,0.953768297449232,15,15139,"Burned","Unnamed Lake"
2006,0.688408336637713,0.73884576429664,0.749616871906561,0.832367622395254,20,15139,"Burned","Unnamed Lake"
2007,0.836217362058106,0.846856826167656,0.910257370578565,1.14900156788188,25,15139,"Burned","Unnamed Lake"
2008,0.632827991866351,0.842144054073295,0.828600782157641,0.997287028617622,20,15139,"Burned","Unnamed Lake"
2009,0.650504616309296,0.722458334075937,0.734029146826395,0.863726709660776,25,15139,"Burned","Unnamed Lake"
2010,0.877468417789101,0.877468417789101,0.877468417789101,0.877468417789101,5,15139,"Burned","Unnamed Lake"
2011,0.521875118565352,0.797199449871233,0.789470403457905,1.02075370442148,25,15139,"Burned","Unnamed Lake"
2012,0.565360000348809,0.747840234764096,0.701953427312699,0.792660046825191,15,15139,"Burned","Unnamed Lake"
2013,0.709054457260548,0.889017898411221,0.850926023996776,0.95470571631856,15,15139,"Burned","Unnamed Lake"
2014,0.687497868761066,0.82203498378291,0.866360406141504,1.06825769869924,25,15139,"Burned","Unnamed Lake"
2015,0.727505531076727,0.903894239674253,0.851865115371218,0.924195575362674,15,15139,"Burned","Unnamed Lake"
2016,0.671365529032376,0.767130069189505,0.798773455992326,0.922023626465408,25,15139,"Burned","Unnamed Lake"
2017,0.592662472691679,0.606182348393473,0.606182348393473,0.619702224095267,10,15139,"Burned","Unnamed Lake"
2018,0.721656784055892,0.729064640221966,0.786925382034197,0.933432684392579,30,15139,"Burned","Unnamed Lake"
2019,0.483929434767381,0.688178920795159,0.685519475862447,0.882677665306271,40,15139,"Burned","Unnamed Lake"
2020,0.591503493351772,0.676478621026479,0.70178380119974,0.817679099413526,25,15139,"Burned","Unnamed Lake"
