Lake County, Minnesota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
189501,10.6,-6.4
189502,20.3,-2.7
189503,33.7,-1.7
189504,52.8,4.7
189505,67.0,4.8
189506,71.5,0.2
189507,73.9,-2.4
189508,74.2,-0.3
189509,66.1,0.9
189510,47.8,-2.6
189511,33.5,-0.8
189512,22.1,0.1
189601,16.9,-0.1
189602,23.6,0.6
189603,27.3,-8.1
189604,49.0,0.9
189605,67.7,5.5
189606,75.9,4.6
189607,78.3,2.0
189608,75.5,1.0
189609,63.4,-1.8
189610,47.4,-3.0
189611,23.6,-10.7
189612,23.1,1.1
189701,13.8,-3.2
189702,23.5,0.5
189703,30.1,-5.3
189704,48.3,0.2
189705,61.5,-0.7
189706,67.9,-3.4
189707,78.6,2.3
189708,73.1,-1.4
189709,72.1,6.9
189710,51.5,1.1
189711,28.8,-5.5
189712,14.7,-7.3
189801,23.2,6.2
189802,22.8,-0.2
189803,36.5,1.1
189804,48.2,0.1
189805,63.6,1.4
189806,70.2,-1.1
189807,80.0,3.7
189808,73.1,-1.4
189809,68.2,3.0
189810,46.7,-3.7
189811,32.2,-2.1
189812,16.4,-5.6
189901,10.6,-6.4
189902,10.7,-12.3
189903,20.9,-14.5
189904,50.2,2.1
189905,61.1,-1.1
189906,72.0,0.7
189907,77.0,0.7
189908,73.9,-0.6
189909,63.4,-1.8
189910,53.3,2.9
189911,43.9,9.6
189912,23.5,1.5
190001,23.7,6.7
190002,15.2,-7.8
190003,30.6,-4.8
190004,56.1,8.0
190005,64.4,2.2
190006,73.2,1.9
190007,75.8,-0.5
190008,77.8,3.3
190009,63.8,-1.4
190010,59.0,8.6
190011,27.5,-6.8
190012,20.2,-1.8
190101,17.7,0.7
190102,17.0,-6.0
190103,29.6,-5.8
190104,51.3,3.2
190105,63.6,1.4
190106,71.8,0.5
190107,76.2,-0.1
190108,75.8,1.3
190109,64.0,-1.2
190110,53.8,3.4
190111,29.2,-5.1
190112,13.9,-8.1
190201,18.2,1.2
190202,21.3,-1.7
190203,40.0,4.6
190204,47.6,-0.5
190205,63.4,1.2
190206,68.5,-2.8
190207,78.2,1.9
190208,71.5,-3.0
190209,61.5,-3.7
190210,50.8,0.4
190211,34.2,-0.1
190212,18.2,-3.8
190301,14.6,-2.4
190302,19.4,-3.6
190303,35.1,-0.3
190304,48.8,0.7
190305,63.2,1.0
190306,72.5,1.2
190307,76.3,0.0
190308,70.0,-4.5
190309,61.7,-3.5
190310,56.8,6.4
190311,30.0,-4.3
190312,11.6,-10.4
190401,9.5,-7.5
190402,8.8,-14.2
190403,29.1,-6.3
190404,44.5,-3.6
190405,63.3,1.1
190406,69.4,-1.9
190407,73.8,-2.5
190408,71.6,-2.9
190409,60.0,-5.2
190410,47.8,-2.6
190411,37.6,3.3
190412,15.8,-6.2
190501,8.9,-8.1
190502,15.5,-7.5
190503,33.6,-1.8
190504,46.8,-1.3
190505,60.6,-1.6
190506,67.5,-3.8
190507,74.3,-2.0
190508,73.7,-0.8
190509,65.4,0.2
190510,49.7,-0.7
190511,35.1,0.8
190512,21.5,-0.5
190601,19.8,2.8
190602,19.6,-3.4
190603,24.8,-10.6
190604,53.4,5.3
190605,59.0,-3.2
190606,70.1,-1.2
190607,76.2,-0.1
190608,73.4,-1.1
190609,70.9,5.7
190610,49.3,-1.1
190611,31.8,-2.5
190612,18.1,-3.9
190701,8.6,-8.4
190702,20.6,-2.4
190703,32.5,-2.9
190704,37.8,-10.3
190705,50.9,-11.3
190706,72.7,1.4
190707,76.5,0.2
190708,70.0,-4.5
190709,60.2,-5.0
190710,50.2,-0.2
190711,32.6,-1.7
190712,22.2,0.2
190801,18.3,1.3
190802,22.5,-0.5
190803,32.4,-3.0
190804,52.5,4.4
190805,62.8,0.6
190806,71.4,0.1
190807,76.1,-0.2
190808,72.0,-2.5
190809,69.9,4.7
190810,51.6,1.2
190811,34.8,0.5
190812,18.4,-3.6
190901,14.4,-2.6
190902,18.7,-4.3
190903,30.8,-4.6
190904,39.0,-9.1
190905,59.4,-2.8
190906,73.1,1.8
190907,75.5,-0.8
190908,73.6,-0.9
190909,64.0,-1.2
190910,48.7,-1.7
190911,36.1,1.8
190912,15.0,-7.0
191001,16.1,-0.9
191002,17.2,-5.8
191003,47.4,12.0
191004,51.9,3.8
191005,59.0,-3.2
191006,77.8,6.5
191007,79.6,3.3
191008,73.3,-1.2
191009,64.4,-0.8
191010,54.0,3.6
191011,25.5,-8.8
191012,16.4,-5.6
191101,11.7,-5.3
191102,24.5,1.5
191103,38.1,2.7
191104,47.5,-0.6
191105,65.0,2.8
191106,75.0,3.7
191107,75.8,-0.5
191108,71.5,-3.0
191109,60.7,-4.5
191110,47.8,-2.6
191111,25.5,-8.8
191112,22.6,0.6
191201,-2.0,-19.0
191202,15.6,-7.4
191203,28.1,-7.3
191204,49.3,1.2
191205,60.1,-2.1
191206,69.8,-1.5
191207,75.1,-1.2
191208,65.9,-8.6
191209,63.3,-1.9
191210,53.8,3.4
191211,36.1,1.8
191212,22.7,0.7
191301,13.4,-3.6
191302,14.2,-8.8
191303,25.4,-10.0
191304,51.6,3.5
191305,59.0,-3.2
191306,74.2,2.9
191307,73.0,-3.3
191308,73.6,-0.9
191309,62.5,-2.7
191310,47.2,-3.2
191311,39.6,5.3
191312,32.6,10.6
191401,21.4,4.4
191402,10.8,-12.2
191403,33.3,-2.1
191404,45.3,-2.8
191405,66.8,4.6
191406,72.8,1.5
191407,79.6,3.3
191408,72.2,-2.3
191409,64.9,-0.3
191410,56.8,6.4
191411,34.7,0.4
191412,14.7,-7.3
191501,14.9,-2.1
191502,28.0,5.0
191503,34.9,-0.5
191504,57.7,9.6
191505,59.2,-3.0
191506,65.6,-5.7
191507,73.4,-2.9
191508,74.4,-0.1
191509,65.1,-0.1
191510,50.0,-0.4
191511,34.3,0.0
191512,20.1,-1.9
191601,11.5,-5.5
191602,14.2,-8.8
191603,29.2,-6.2
191604,46.2,-1.9
191605,57.9,-4.3
191606,66.9,-4.4
191607,82.6,6.3
191608,74.8,0.3
191609,63.0,-2.2
191610,49.9,-0.5
191611,33.3,-1.0
191612,13.2,-8.8
191701,10.4,-6.6
191702,10.4,-12.6
191703,30.8,-4.6
191704,42.6,-5.5
191705,60.0,-2.2
191706,68.1,-3.2
191707,76.6,0.3
191708,70.2,-4.3
191709,60.8,-4.4
191710,39.0,-11.4
191711,36.7,2.4
191712,9.9,-12.1
191801,5.7,-11.3
191802,17.3,-5.7
191803,39.9,4.5
191804,48.8,0.7
191805,63.5,1.3
191806,70.7,-0.6
191807,75.5,-0.8
191808,75.0,0.5
191809,59.8,-5.4
191810,51.5,1.1
191811,36.3,2.0
191812,23.2,1.2
191901,21.3,4.3
191902,20.7,-2.3
191903,31.1,-4.3
191904,47.8,-0.3
191905,64.1,1.9
191906,71.8,0.5
191907,79.3,3.0
191908,74.9,0.4
191909,65.5,0.3
191910,46.1,-4.3
191911,26.4,-7.9
191912,9.6,-12.4
192001,7.6,-9.4
192002,19.4,-3.6
192003,33.8,-1.6
192004,41.4,-6.7
192005,63.7,1.5
192006,71.1,-0.2
192007,74.7,-1.6
192008,74.6,0.1
192009,68.8,3.6
192010,57.9,7.5
192011,31.2,-3.1
192012,21.6,-0.4
192101,20.6,3.6
192102,25.4,2.4
192103,33.1,-2.3
192104,52.4,4.3
192105,64.7,2.5
192106,76.9,5.6
192107,82.3,6.0
192108,73.9,-0.6
192109,66.1,0.9
192110,51.2,0.8
192111,26.3,-8.0
192112,18.7,-3.3
192201,13.2,-3.8
192202,16.3,-6.7
192203,33.8,-1.6
192204,46.0,-2.1
192205,66.2,4.0
192206,71.8,0.5
192207,73.4,-2.9
192208,74.2,-0.3
192209,66.8,1.6
192210,52.5,2.1
192211,35.7,1.4
192212,14.9,-7.1
192301,16.9,-0.1
192302,14.3,-8.7
192303,23.8,-11.6
192304,46.7,-1.4
192305,64.6,2.4
192306,76.0,4.7
192307,77.6,1.3
192308,71.8,-2.7
192309,65.5,0.3
192310,52.0,1.6
192311,39.9,5.6
192312,27.8,5.8
192401,7.5,-9.5
192402,24.2,1.2
192403,33.0,-2.4
192404,46.0,-2.1
192405,56.8,-5.4
192406,69.4,-1.9
192407,73.9,-2.4
192408,71.2,-3.3
192409,60.8,-4.4
192410,57.0,6.6
192411,31.9,-2.4
192412,10.0,-12.0
192501,14.8,-2.2
192502,21.4,-1.6
192503,35.5,0.1
192504,52.8,4.7
192505,61.3,-0.9
192506,71.0,-0.3
192507,77.5,1.2
192508,76.9,2.4
192509,65.2,0.0
192510,40.3,-10.1
192511,32.7,-1.6
192512,16.4,-5.6
192601,17.1,0.1
192602,22.9,-0.1
192603,28.5,-6.9
192604,47.9,-0.2
192605,63.9,1.7
192606,68.2,-3.1
192607,74.9,-1.4
192608,72.5,-2.0
192609,57.2,-8.0
192610,46.2,-4.2
192611,25.4,-8.9
192612,16.5,-5.5
192701,12.9,-4.1
192702,22.9,-0.1
192703,36.6,1.2
192704,46.2,-1.9
192705,55.7,-6.5
192706,67.4,-3.9
192707,72.6,-3.7
192708,70.2,-4.3
192709,65.8,0.6
192710,52.7,2.3
192711,29.0,-5.3
192712,11.4,-10.6
192801,16.1,-0.9
192802,21.0,-2.0
192803,32.7,-2.7
192804,42.3,-5.8
192805,65.3,3.1
192806,67.0,-4.3
192807,73.6,-2.7
192808,72.4,-2.1
192809,59.0,-6.2
192810,49.8,-0.6
192811,36.1,1.8
192812,23.6,1.6
192901,4.5,-12.5
192902,14.6,-8.4
192903,34.8,-0.6
192904,48.6,0.5
192905,59.4,-2.8
192906,70.3,-1.0
192907,79.1,2.8
192908,75.6,1.1
192909,62.6,-2.6
192910,53.2,2.8
192911,29.3,-5.0
192912,15.3,-6.7
193001,7.4,-9.6
193002,24.6,1.6
193003,33.9,-1.5
193004,50.2,2.1
193005,62.7,0.5
193006,73.6,2.3
193007,77.0,0.7
193008,80.1,5.6
193009,64.5,-0.7
193010,47.0,-3.4
193011,35.4,1.1
193012,21.4,-0.6
193101,22.5,5.5
193102,32.0,9.0
193103,34.0,-1.4
193104,52.6,4.5
193105,61.9,-0.3
193106,72.6,1.3
193107,81.0,4.7
193108,73.7,-0.8
193109,68.3,3.1
193110,56.9,6.5
193111,39.4,5.1
193112,28.0,6.0
193201,21.3,4.3
193202,22.6,-0.4
193203,26.1,-9.3
193204,47.6,-0.5
193205,64.1,1.9
193206,73.9,2.6
193207,77.2,0.9
193208,76.7,2.2
193209,64.9,-0.3
193210,46.7,-3.7
193211,30.1,-4.2
193212,17.0,-5.0
193301,22.0,5.0
193302,16.8,-6.2
193303,30.3,-5.1
193304,44.8,-3.3
193305,63.2,1.0
193306,77.0,5.7
193307,77.9,1.6
193308,74.9,0.4
193309,67.6,2.4
193310,46.4,-4.0
193311,26.8,-7.5
193312,14.3,-7.7
193401,20.3,3.3
193402,17.3,-5.7
193403,30.1,-5.3
193404,44.4,-3.7
193405,69.8,7.6
193406,72.7,1.4
193407,78.3,2.0
193408,72.1,-2.4
193409,59.9,-5.3
193410,53.0,2.6
193411,36.4,2.1
193412,16.8,-5.2
193501,10.7,-6.3
193502,27.0,4.0
193503,31.7,-3.7
193504,44.3,-3.8
193505,59.8,-2.4
193506,68.0,-3.3
193507,78.7,2.4
193508,72.7,-1.8
193509,61.9,-3.3
193510,48.7,-1.7
193511,26.6,-7.7
193512,18.9,-3.1
193601,8.3,-8.7
193602,7.2,-15.8
193603,31.7,-3.7
193604,42.7,-5.4
193605,65.1,2.9
193606,71.8,0.5
193607,81.3,5.0
193608,74.9,0.4
193609,66.2,1.0
193610,45.3,-5.1
193611,27.7,-6.6
193612,21.9,-0.1
193701,8.8,-8.2
193702,19.2,-3.8
193703,30.6,-4.8
193704,43.2,-4.9
193705,63.8,1.6
193706,72.4,1.1
193707,77.0,0.7
193708,78.5,4.0
193709,63.7,-1.5
193710,46.4,-4.0
193711,29.7,-4.6
193712,16.2,-5.8
193801,10.8,-6.2
193802,23.4,0.4
193803,40.3,4.9
193804,46.7,-1.4
193805,58.8,-3.4
193806,71.0,-0.3
193807,74.8,-1.5
193808,77.7,3.2
193809,65.4,0.2
193810,56.4,6.0
193811,29.8,-4.5
