Site,Date,ProfileDepth_m,WaterTemp_C,SpecCond_uScm,LDO_mgL,LDO_pct,pH
West Chub Lake,5/16/2022,0,14.69,43.9,9.48,97.6,7.85
West Chub Lake,5/16/2022,0.5,14.64,43.8,9.48,97.3,7.83
West Chub Lake,5/16/2022,1,13.87,44.2,9.19,92.8,7.74
Gypsy Lake,5/16/2022,0,13.35,55,9.49,94.7,6.43
Gypsy Lake,5/16/2022,1,13.3,55.2,9.49,94.6,6.35
Gypsy Lake,5/16/2022,2,13.17,55.2,9.49,94.3,6.28
Gypsy Lake,5/16/2022,3,8.22,55.5,5.34,47.1,6.08
Gypsy Lake,5/16/2022,3.5,8.11,55.5,5.31,48.8,6.04
Wampus Lake,5/16/2022,0,14.92,98.7,10.66,110.2,9.25
Wampus Lake,5/16/2022,0.5,14.95,98.6,10.75,111.1,9.08
Wampus Lake,5/16/2022,1,14.95,99.2,10.74,111,9.02
Baird Lake,5/16/2022,0,14.13,48.7,8.69,88.2,7.62
Baird Lake,5/16/2022,0.5,14.14,48.6,8.71,88.5,7.53
Baird Lake,5/16/2022,1,14.14,48.6,8.7,88.4,7.39
Baird Lake,5/16/2022,1.5,14.14,48.7,8.54,86.2,7.38
Two Deer Lake,5/16/2022,0,13.98,83.7,10.54,106.7,8.2
Two Deer Lake,5/16/2022,0.5,13.95,83.4,10.07,105.9,7.98
Two Deer Lake,5/16/2022,1,13.94,83.7,10.52,106.5,7.95
Two Deer Lake,5/16/2022,1.5,13.88,83.3,10.62,107.1,7.92
Two Deer Lake,5/16/2022,2,13.65,83.4,10.76,108.1,7.85
Greenwood Lake,5/17/2022,1,13.55,24.8,9.12,91.1,7.11
Greenwood Lake,5/17/2022,0.5,13.6,24.8,9.03,90.7,7.5
Greenwood Lake,5/17/2022,1,13.64,25,9.04,90.6,7.5
Greenwood Lake,5/17/2022,1.5,13.67,25,9,90.4,7.5
Slate Lake,5/17/2022,0,18.1,36.7,8.76,97.2,6.97
Slate Lake,5/17/2022,0.5,13.56,34.1,8.64,85.9,7.5
Slate Lake,5/17/2022,1,13.54,34.1,8.54,85.4,7.6
Slate Lake,5/17/2022,1.5,13.31,34.8,8.45,84.3,7.5
Slate Lake,5/17/2022,2,13.16,34.9,8.3,82.4,7.5
