ID,Collectors,Project,Site,Date,Time,AirTemp_F,WindSpeed_mph,Cloud Cover,Precipitation,Precip Type,Precip Last 24 Hours,24 Hr Precip Type,Est 24 Hr Precip Amount_in,Water Surface Conditions,Odor Present,Scum Visible,Water Color,SecchiDepth_m,zMax_m,Instrument Used,Comments
157,JRH,NSF FIRE,Two Deer Lake,5/16/2022,14:15,55,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,2.4,2.6,Lena,
158,JRH,NSF FIRE,Baird Lake,5/16/2022,9:15,45,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.3,1.9,Lena,
159,JRH,NSF FIRE,Wampus Lake,5/16/2022,15:26,55,15,Mostly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Clear,0.9,1.5,Lena,
160,JRH,NSF FIRE,Gypsy Lake,5/16/2022,10:07,52,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.1,3.8,Lena,
161,JRH,NSF FIRE,West Chub Lake,5/16/2022,12:08,55,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.1,1.5,Lena,
162,JRH,NSF FIRE,Grouse Lake,5/17/2022,10:17,48,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,0.8,2.8,Lena,
163,JRH,NSF FIRE,Middle McDougal,5/17/2022,12:12,54,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1,2,Lena,
164,JRH,NSF FIRE,South McDougal,5/17/2022,11:41,56,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1,2.2,Lena,
165,JRH,NSF FIRE,Fourth McDougal,5/17/2022,12:34,,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1.1,8.1,Lena,
166,JRH,NSF FIRE,North McDougal,5/17/2022,13:05,,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1,3.2,Lena,
167,JRH,NSF FIRE,Dunnigan Lake,5/17/2022,14:57,,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Clear,,3.6,Lena,Secchi not recorded on field sheet; Anna thinks it could have been 1.1 m
168,JRH,NSF FIRE,Slate Lake,5/17/2022,15:26,,,Partly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Brown,1,,Lena,z-max not recorded
169,JRH,NSF FIRE,Greenwood Lake,5/17/2022,16:29,,,Partly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Brown,0.8,2,Lena,
170,JRH,NSF FIRE,Lake Gegoka,5/17/2022,9:00,48,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1.2,2.4,Lena,
171,JRH,NSF FIRE,Eighteen Lake,5/18/2022,13:07,50,15,Partly Cloudy,FALSE,,TRUE,Light Rain/Drizzle,,Choppy,FALSE,FALSE,Clear,3.2,5.1,Lena,
