Site,Date,Time,AirTemp_F,WindSpeed_mph,CloudCover,Precipitation,Precip Type,PrecipLast24Hours,PrecipType24hr,Est24HrPrecipAmount_in,WaterSurfaceConditions,OdorPresent,ScumVisible,WaterColor,SecchiDepth_m,zMax_m,Instrument Used,Comments
Baird Lake,5/16/2022,9:15,45,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.3,1.9,Lena,
Gypsy Lake,5/16/2022,10:07,52,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.1,3.8,Lena,
West Chub Lake,5/16/2022,12:08,55,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.1,1.5,Lena,
Two Deer Lake,5/16/2022,14:15,55,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,2.4,2.6,Lena,
Wampus Lake,5/16/2022,15:26,55,15,Mostly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Clear,0.9,1.5,Lena,
Lake Gegoka,5/17/2022,9:00,48,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1.2,2.4,Lena,
Grouse Lake,5/17/2022,10:17,48,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,0.8,2.8,Lena,
South McDougal,5/17/2022,11:41,56,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1,2.2,Lena,
Middle McDougal,5/17/2022,12:12,54,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1,2,Lena,
Fourth McDougal,5/17/2022,12:34,,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1.1,8.1,Lena,
North McDougal,5/17/2022,13:05,,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,1,3.2,Lena,
Dunnigan Lake,5/17/2022,14:57,,0,Clear,FALSE,,FALSE,,,Flat,FALSE,FALSE,Clear,,3.6,Lena,Secchi not recorded on field sheet; Anna thinks it could have been 1.1 m
Slate Lake,5/17/2022,15:26,,,Partly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Brown,1,,Lena,z-max not recorded
Greenwood Lake,5/17/2022,16:29,,,Partly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Brown,0.8,2,Lena,
Gander Lake,5/18/2022,9:05,45,5,Partly Cloudy,TRUE,Light Rain/Drizzle,TRUE,Light Rain/Drizzle,,Ripples,FALSE,FALSE,Clear,1.8,1.8,Lena,
Wadop Lake,5/18/2022,10:27,54,5,Mostly Cloudy,FALSE,,TRUE,Light Rain/Drizzle,,Ripples,FALSE,FALSE,Brown,1.5,1.9,Lena,
Unnamed Lake,5/18/2022,12:02,55,10,Mostly Cloudy,FALSE,,TRUE,Light Rain/Drizzle,,Ripples,FALSE,FALSE,Brown,0.8,7.1,Lena,
Eighteen Lake,5/18/2022,13:07,50,15,Partly Cloudy,FALSE,,TRUE,Light Rain/Drizzle,,Choppy,FALSE,FALSE,Clear,3.2,5.1,Lena,
Teamster Lake,5/18/2022,14:15,60,10,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,1.4,1.4,Lena,
August Lake,5/19/2022,10:26,48,5,Overcast,FALSE,,TRUE,Rain,0.25,Flat,FALSE,FALSE,Brown,1.6,5.5,Lena,
Highlife Lake,5/19/2022,12:02,50,0,Overcast,FALSE,,TRUE,Rain,0.25,Flat,FALSE,FALSE,Clear,2.4,5.5,Lena,
Cloquet Lake,5/19/2022,17:37,49,10,Partly Cloudy,FALSE,,TRUE,Rain,0.25,Choppy,FALSE,FALSE,Brown,0.9,1.9,Lena,
Flathorn Lake,5/20/2022,9:05,49,5,Mostly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Brown,1.7,4.5,Lena,
Rat Lake,5/20/2022,10:00,50,5,Mostly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Brown,1.5,1.6,Lena,
Kitigan Lake,5/20/2022,10:52,50,5,Mostly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Clear,2.1,2.2,Lena,
Mitawan Lake,5/20/2022,11:15,50,10,Mostly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Brown,2.4,6.2,Lena,
Stony Lake,5/20/2022,13:00,55,20,Mostly Cloudy,FALSE,,FALSE,,,Choppy,FALSE,FALSE,Brown,0.9,1.8,Lena,
Sand Lake,5/23/2022,9:30,49,5,Overcast,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Brown,1.3,3.9,Lena,
Lil Chub Lake,5/23/2022,11:30,58,5,Mostly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Brown,1.2,1.7,Lena,
Gypsy Lake,6/7/2022,10:35,65,5,Partly Cloudy,FALSE,,FALSE,,,Ripples,FALSE,FALSE,Brown,1.2,5,,
North McDougal,6/7/2022,13:33,68,0,Partly Cloudy,FALSE,,FALSE,,,Flat,FALSE,FALSE,Brown,0.9,2.8,Ole,
Middle McDougal,6/7/2022,15:00,68,0,Mostly Cloudy,FALSE,,FALSE,,0,Flat,FALSE,FALSE,,0.9,1.4,,
