"Site","Month","ID","Date","Chloro","TP","TN","NH4N","NO2NO3N","ANCmg","ANCaueq","TSS","TSVS","DOC","lagoslakeid","Type","lake_connectivity_class","ConnClass","Group","Month_factor","SecchiDepth_m","zMax_m"
"August Lake",5,844,2022-05-19,-99,15,640,17,76,12.9,258.7,5.5,1.1,14.09,63,"Control","DrainageLk","Drainage","Control_Drainage","May",1.6,5.5
"August Lake",6,864,2022-06-08,-99,10,584,29,59,13.2,263.8,1.5,1.7,13.68,63,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.3,5.3
"August Lake",7,943,2022-07-13,-99,27,659,9,9,12.7,253.1,1.8,1.9,13.91,63,"Control","DrainageLk","Drainage","Control_Drainage","Jul",1.9,5
"August Lake",8,1073,2022-08-22,-99,18,578,9,0,14.6,291.4,2.6,2,-99,63,"Control","DrainageLk","Drainage","Control_Drainage","Aug",1.7,2.7
"Baird Lake",5,825,2022-05-16,-99,17,1322,545,34,22.6,452.5,2.8,2.8,9.47,139473,"Control","Isolated","Isolated","Control_Isolated","May",1.3,1.9
"Baird Lake",6,866,2022-06-08,-99,15,1295,357,18,23.7,474.4,3.3,3.6,11.31,139473,"Control","Isolated","Isolated","Control_Isolated","Jun",NA,1.9
"Baird Lake",7,972,2022-07-18,-99,31,1265,15,0,26.6,530.9,14.6,12.7,12.97,139473,"Control","Isolated","Isolated","Control_Isolated","Jul",1.3,1.9
"Baird Lake",8,1084,2022-08-23,-99,19,1362,117,4,26.8,535.1,8.8,8.8,-99,139473,"Control","Isolated","Isolated","Control_Isolated","Aug",1.6,1.6
"Cloquet Lake",5,845,2022-05-19,-99,22,660,20,47,7.7,154,7.6,3.9,16.54,57275,"Control","DrainageLk","Drainage","Control_Drainage","May",0.9,1.9
"Cloquet Lake",6,873,2022-06-09,-99,20,650,18,1,11.7,233.8,2.6,4.1,17.42,57275,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.3,1.5
"Cloquet Lake",7,937,2022-07-13,-99,33,727,8,1,15.8,316,4.8,4.4,16.7,57275,"Control","DrainageLk","Drainage","Control_Drainage","Jul",0.92,1.7
"Cloquet Lake",8,1089,2022-08-23,-99,20,777,12,0,17.9,357.8,4.7,3,-99,57275,"Control","DrainageLk","Drainage","Control_Drainage","Aug",1,2
"Dunnigan Lake",5,830,2022-05-17,-99,13,431,17,12,4.4,88,3,1.8,7.28,2867,"Control","Isolated","Isolated","Control_Isolated","May",NA,3.6
"Dunnigan Lake",6,865,2022-06-08,-99,16,533,19,0,4.1,82.4,1.9,2,7.04,2867,"Control","Isolated","Isolated","Control_Isolated","Jun",3.5,7
"Dunnigan Lake",7,968,2022-07-14,-99,10,484,31,14,4,80.6,2,0.8,6.79,2867,"Control","Isolated","Isolated","Control_Isolated","Jul",4.1,4.1
"Dunnigan Lake",8,1094,2022-08-24,-99,9,503,11,0,3.9,78.2,2.1,0.4,-99,2867,"Control","Isolated","Isolated","Control_Isolated","Aug",3.5,3.5
"Eighteen Lake",5,841,2022-05-18,-99,9,665,229,21,26.3,525.8,0.9,0.8,4.75,37142,"Control","Isolated","Isolated","Control_Isolated","May",3.2,5.1
"Eighteen Lake",6,889,2022-06-10,-99,14,435,11,0,23.7,472.6,1.2,1.1,5.27,37142,"Control","Isolated","Isolated","Control_Isolated","Jun",3.6,3.6
"Eighteen Lake",7,961,2022-07-15,-99,13,460,13,0,24.4,487.6,2,1.5,16.6,37142,"Control","Isolated","Isolated","Control_Isolated","Jul",3.3,3.7
"Eighteen Lake",8,1082,2022-08-23,-99,11,525,9,0,23.9,476.8,2.4,2.4,-99,37142,"Control","Isolated","Isolated","Control_Isolated","Aug",3,3
"Fishtrap Lake",6,892,2022-06-13,-99,41,876,18,0,5.9,118.7,4.8,4.9,15.49,51824,"Burned","Isolated","Isolated","Burned_Isolated","Jun",1.1,1.8
