Site,Month,Date,Chloro_ppb,TP_ppb,TN_ppb,NH4N_ppb,NO2NO3_ppb,ANC_mgCaCO3L,TSS_mgL,DOC_ppm,lagoslakeid,Type,lake_connectivity_class,ConnClass,Group,Month_factor,SecchiDepth_m,zMax_m,ProfileDepth_m,WaterTemp_C,SpecCond_uScm,LDO_mgL,LDO_pct,pH,Lake
August Lake,5,5/19/2022,2.1,15,640,17,76,12.9,5.5,14.1,63,Control,DrainageLk,Drainage,Control_Drainage,May,1.6,5.5,0,13.17,37.8,9.39,93.3,7.5,August 
August Lake,6,6/8/2022,3.2,10,584,29,59,13.2,1.5,13.7,63,Control,DrainageLk,Drainage,Control_Drainage,Jun,1.3,5.3,0,19.18,47.2,9.13,98.7,7.22,August 
August Lake,7,7/13/2022,4.4,27,659,9,9,12.7,1.8,13.9,63,Control,DrainageLk,Drainage,Control_Drainage,Jul,1.9,5,0,23.73,43.4,8.41,105.2,6.91,August 
August Lake,8,8/22/2022,5,18,578,9,0,14.6,2.6,11.8,63,Control,DrainageLk,Drainage,Control_Drainage,Aug,1.7,2.7,0,22.1,45.3,8.08,97.6,6.45,August 
August Lake,9,9/22/2022,2.7,16,530,31,10,14.8,1.9,12.9,63,Control,DrainageLk,Drainage,Control_Drainage,Sep,1.6,5,0,16.75,44.8,8.49,91.2,7.02,August 
Baird Lake,5,5/16/2022,3.1,17,1322,545,34,22.6,2.8,9.5,139473,Control,Isolated,Isolated,Control_Isolated,May,1.3,1.9,0,14.13,48.7,8.69,88.2,7.62,Baird 
Baird Lake,6,6/8/2022,5.4,15,1295,357,18,23.7,3.3,11.3,139473,Control,Isolated,Isolated,Control_Isolated,Jun,NA,1.9,0,19.46,50.8,10.27,116.8,8.71,Baird 
Baird Lake,7,7/18/2022,2.9,31,1265,15,0,26.6,14.6,13,139473,Control,Isolated,Isolated,Control_Isolated,Jul,1.3,1.9,0,26.2,45,9.01,115.9,8.5,Baird 
Baird Lake,8,8/23/2022,4.9,19,1362,117,4,26.8,8.8,16.8,139473,Control,Isolated,Isolated,Control_Isolated,Aug,1.6,1.6,0,22.66,59.1,7.87,95.5,7.13,Baird 
Baird Lake,9,9/26/2022,8.3,23,1766,600,26,26.7,8.6,14.1,139473,Control,Isolated,Isolated,Control_Isolated,Sep,1.3,1.9,0,12.93,56.9,8.6,85.4,7.32,Baird 
Cloquet Lake,5,5/19/2022,NA,22,660,20,47,7.7,7.6,16.5,57275,Control,DrainageLk,Drainage,Control_Drainage,May,0.9,1.9,0,12.88,27.4,8.45,83.4,7.48,Cloquet 
Cloquet Lake,6,6/9/2022,2.5,20,650,18,1,11.7,2.6,17.4,57275,Control,DrainageLk,Drainage,Control_Drainage,Jun,1.3,1.5,0,18.21,32,7.52,84.5,7.31,Cloquet 
Cloquet Lake,7,7/13/2022,4.9,33,727,8,1,15.8,4.8,16.7,57275,Control,DrainageLk,Drainage,Control_Drainage,Jul,0.92,1.7,0,21.98,31.6,8.18,97.3,7.24,Cloquet 
Cloquet Lake,8,8/23/2022,4.4,20,777,12,0,17.9,4.7,18.1,57275,Control,DrainageLk,Drainage,Control_Drainage,Aug,1,2,0,21.4,46,7.35,87.6,7.31,Cloquet 
Cloquet Lake,9,9/22/2022,2.1,15,671,16,8,19.7,1.9,15.9,57275,Control,DrainageLk,Drainage,Control_Drainage,Sep,1.7,2.2,0,15.76,48.8,8.68,91.9,7.35,Cloquet 
Dunnigan Lake,5,5/17/2022,0.5,13,431,17,12,4.4,3,7.3,2867,Control,Isolated,Isolated,Control_Isolated,May,NA,3.6,0,15.47,13.5,10.01,104.8,7.84,Dunnigan 
Dunnigan Lake,6,6/8/2022,0.6,16,533,19,0,4.1,1.9,7,2867,Control,Isolated,Isolated,Control_Isolated,Jun,3.5,7,0,18.44,15.5,9.72,103.6,6.92,Dunnigan 
Dunnigan Lake,7,7/14/2022,3.9,10,484,31,14,4,2,6.8,2867,Control,Isolated,Isolated,Control_Isolated,Jul,4.1,4.1,0,23.2,11.4,8.3,101.1,6.59,Dunnigan 
