Lake,Color ,Source,Type,Site,Lagoslakeid,Month,Month_Order,Date,QAQC,Chloro,Phaeo,TP,OP,TN,NH4N,NO2NO3N,ANCmg,ANCaueq,TSS,TSVS,DOC
control drainage,blue,drainage,control,August Lake,63,may,5,19-May-22,NA,NA,NA,15,NA,640,17,76,12.9,258.7,5.5,1.1,14.09
control isolated,light sky blue,isolated,control,Baird Lake,139473,may,5,16-May-22,NA,NA,NA,17,NA,1322,545,34,22.6,452.5,2.8,2.8,9.47
control drainage,blue,drainage,control,Cloquet Lake,57275,may,5,19-May-22,NA,NA,NA,22,NA,660,20,47,7.7,154,7.6,3.9,16.54
control isolated,light sky blue,isolated,control,Dunnigan Lake,2867,may,5,17-May-22,NA,NA,NA,13,NA,431,17,12,4.4,88,3,1.8,7.28
control isolated,light sky blue,isolated,control,Eighteen Lake,37142,may,5,18-May-22,NA,NA,NA,9,NA,665,229,21,26.3,525.8,0.9,0.8,4.75
burned isolated,blue,isolated,sample,Fishtrap Lake,51824,may,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control drainage,blue,drainage,control,Flathorn Lake,121215,may,5,20-May-22,NA,NA,NA,16,NA,763,19,33,15.3,305.2,1.9,2.5,20.12
burned drainage,red,drainage,sample,Fourth McDougal,14101,may,5,17-May-22,NA,NA,NA,43,NA,866,12,91,13.2,263.4,6.8,2.4,18.25
control drainage,blue,drainage,control,Gander Lake,20349,may,5,18-May-22,NA,NA,NA,10,NA,383,7,2,19.4,388.2,1.9,1.6,6.87
burned drainage,red,drainage,sample,Greenwood Lake,223,may,5,17-May-22,NA,NA,NA,24,NA,879,10,70,4.8,96.4,7.1,4,24.89
control drainage,blue,drainage,control,Grouse Lake,3839,may,5,17-May-22,NA,NA,NA,18,NA,732,16,97,10.7,213,3.8,1.5,19.35
control isolated,light sky blue,isolated,control,Gypsy Lake,59050,may,5,16-May-22,NA,NA,NA,21,NA,465,7,39,2.2,43.6,2.7,3.2,10.61
control isolated,light sky blue,isolated,control,Highlife Lake,3550,may,5,19-May-22,NA,NA,NA,11,NA,552,29,22,2.6,52.4,3.3,1.7,8.11
control drainage,blue,drainage,control,Kitigan Lake,58010,may,5,20-May-22,NA,NA,NA,10,NA,300,8,9,47.8,955.2,1.7,1.4,4.59
burned drainage,red,drainage,sample,Lake Gegoka,113774,may,5,17-May-22,NA,NA,NA,20,NA,602,18,34,14.8,295.1,5.4,3.3,15.75
burned isolated,blue,isolated,sample,Lil Chub Lake,66287,may,5,23-May-22,NA,NA,NA,22,NA,781,12,NA,9,179.2,4.5,3,18.78
burned drainage,red,drainage,sample,Middle McDougal,27717,may,5,17-May-22,NA,NA,NA,40,NA,889,15,89,10,200.4,2.1,2.7,20.72
control drainage,blue,drainage,control,Mitawan Lake,21441,may,5,20-May-22,NA,NA,NA,16,NA,407,2,38,51.4,1026.5,2.1,2.4,4.31
burned drainage,red,drainage,sample,North McDougal,38199,may,5,17-May-22,NA,NA,NA,32,NA,820,12,42,12.1,241.2,4.9,3.4,25.13
control drainage,blue,drainage,control,Rat Lake,127093,may,5,20-May-22,NA,NA,NA,17,NA,805,24,36,15.8,315.2,2.1,1.7,19.68
burned drainage,red,drainage,sample,Sand Lake,414,may,5,23-May-22,NA,NA,NA,25,NA,776,22,70,17.3,345.1,3.3,1.8,18.73
burned drainage,red,drainage,sample,Slate Lake,430,may,5,17-May-22,NA,NA,NA,35,NA,822,14,61,8.8,175.6,5.2,2.8,23.72
burned drainage,red,drainage,sample,South McDougal,66295,may,5,17-May-22,NA,NA,NA,50,NA,895,13,93,8.5,170.5,6.9,2.5,21.38
burned drainage,red,drainage,sample,Stony Lake,50749,may,5,20-May-22,NA,NA,NA,36,NA,939,25,58,7.2,144.2,3.6,2.9,25.09
burned isolated,blue,isolated,sample,Teamster Lake,29814,may,5,18-May-22,NA,NA,NA,23,NA,537,6,NA,23.9,476.8,2.3,1.6,7.7
control drainage,blue,drainage,control,Two Deer Lake,30871,may,5,16-May-22,NA,NA,NA,9,NA,276,24,12,40,799.5,1.4,1.6,4.46
burned drainage,red,drainage,sample,Unnamed Lake,15139,may,5,18-May-22,NA,NA,NA,16,NA,873,17,14,8.1,161.2,0.9,0.1,28.44
control drainage,blue,drainage,control,Wadop Lake,102493,may,5,18-May-22,NA,NA,NA,10,NA,528,7,7,16.3,326.6,1.3,1,15.56
burned isolated,blue,isolated,sample,Wampus Lake,73430,may,5,16-May-22,NA,NA,NA,15,NA,460,7,1,43.9,878,2.3,1.9,5.68
burned drainage,red,drainage,sample,West Chub Lake,133329,may,5,16-May-22,NA,NA,NA,26,NA,622,5,NA,19,379.1,2.9,2.8,11.55
control drainage,blue,drainage,control,August Lake,63,june,6,8-Jun-22,NA,NA,NA,10,NA,584,29,59,NA,NA,1.5,1.7,13.68
control isolated,light sky blue,isolated,control,Baird Lake,139473,june,6,8-Jun-22,NA,NA,NA,15,NA,1295,357,18,23.7,474.4,3.3,3.6,11.31
control drainage,blue,drainage,control,Cloquet Lake,57275,june,6,9-Jun-22,NA,NA,NA,20,NA,650,18,1,NA,NA,2.6,4.1,17.42
control isolated,light sky blue,isolated,control,Dunnigan Lake,2867,june,6,8-Jun-22,NA,NA,NA,16,NA,533,19,NA,NA,NA,1.9,2,7.04
control isolated,light sky blue,isolated,control,Eighteen Lake,37142,june,6,10-Jun-22,NA,NA,NA,14,NA,435,11,NA,23.7,472.6,1.2,1.1,5.27
burned isolated,blue,isolated,sample,Fishtrap Lake,51824,june,6,13-Jun-22,NA,NA,NA,41,NA,876,18,NA,5.9,118.7,4.8,4.9,15.49
control drainage,blue,drainage,control,Flathorn Lake,121215,june,6,10-Jun-22,NA,NA,NA,95,NA,680,17,7,24.1,482.2,1.9,1.5,18.92
