Site,Date,Chloro_ppb,Phaeo_ppb,TP_ppb,TN_ppb,NH4N_ppb,NO2NO3_ppb,ANC_mgCaCO3L,ANC_ueqL,TSS_mgL,TSVS_mgL,DOC_ppm
Baird Lake,16-May-22,3.1,1,17,1322,545,34,22.6,452.5,2.8,2.8,9.5
Gypsy Lake,16-May-22,3.3,1.4,21,465,7,39,2.2,43.6,2.7,3.2,10.6
Two Deer Lake,16-May-22,0.4,0.2,9,276,24,12,40,799.5,1.4,1.6,4.5
Wampus Lake,16-May-22,1.1,0.5,15,460,7,1,43.9,878,2.3,1.9,5.7
West Chub Lake,16-May-22,2.7,1.2,26,622,5,0,19,379.1,2.9,2.8,11.6
Dunnigan Lake,17-May-22,0.5,0.4,13,431,17,12,4.4,88,3,1.8,7.3
Fourth McDougal,17-May-22,8.7,3.6,43,866,12,91,13.2,263.4,6.8,2.4,18.3
Greenwood Lake,17-May-22,2,0.8,24,879,10,70,4.8,96.4,7.1,4,24.9
Grouse Lake,17-May-22,1.3,0.6,18,732,16,97,10.7,213,3.8,1.5,19.4
Lake Gegoka,17-May-22,2.5,1.2,20,602,18,34,14.8,295.1,5.4,3.3,15.8
Middle McDougal,17-May-22,,,40,889,15,89,10,200.4,2.1,2.7,20.7
North McDougal,17-May-22,2.6,1.4,32,820,12,42,12.1,241.2,4.9,3.4,25.1
Slate Lake,17-May-22,5.3,2.2,35,822,14,61,8.8,175.6,5.2,2.8,23.7
South McDougal,17-May-22,3.8,2.2,50,895,13,93,8.5,170.5,6.9,2.5,21.4
Eighteen Lake,18-May-22,1.6,0.2,9,665,229,21,26.3,525.8,0.9,0.8,4.8
Gander Lake,18-May-22,2.9,1,10,383,7,2,19.4,388.2,1.9,1.6,6.9
Teamster Lake,18-May-22,1.8,0.9,23,537,6,0,23.9,476.8,2.3,1.6,7.7
Unnamed Lake,18-May-22,0.3,0.4,16,873,17,14,8.1,161.2,0.9,0.1,28.4
Wadop Lake,18-May-22,0.8,0.3,10,528,7,7,16.3,326.6,1.3,1,15.6
August Lake,19-May-22,2.1,0.6,15,640,17,76,12.9,258.7,5.5,1.1,14.1
Cloquet Lake,19-May-22,,,22,660,20,47,7.7,154,7.6,3.9,16.5
Highlife Lake,19-May-22,1.9,0.4,11,552,29,22,2.6,52.4,3.3,1.7,8.1
Flathorn Lake,20-May-22,1.7,0.5,16,763,19,33,15.3,305.2,1.9,2.5,20.1
Kitigan Lake,20-May-22,3.1,0.9,10,300,8,9,47.8,955.2,1.7,1.4,4.6
Mitawan Lake,20-May-22,5.8,1.3,16,407,2,38,51.4,1026.5,2.1,2.4,4.3
