lagoslakeid,lake_namegnis,lake_states,lake_depth_state,lake_lat_decdeg,lake_lon_decdeg,lake_maxdepth_m,lake_meandepth_m,lake_waterarea_ha,lake_depth_sourcename,lake_depth_sourceurl,lake_maxdepth_effort,lake_meandepth_effort
1,NULL,MA,MA,42.5473372,-73.17393664,2.7,NA,114.9470119,MA_DFW_bathymetry_maps,NULL,LAGOSNE,NULL
2,NULL,MA,MA,42.18385324,-73.04747921,7.619628162,NA,24.86589924,NULL,NULL,bathymetry,NULL
3,NULL,MA,MA,42.53145166,-73.19187116,1.8,NA,75.41099948,MA_DFW_bathymetry_maps,NULL,LAGOSNE,NULL
4,NULL,MA,MA,42.4542323,-71.14089199,5.2,NA,9.255881001,MA_DFW_bathymetry_maps,NULL,LAGOSNE,NULL
5,NULL,MA,MA,42.60411064,-70.82276426,3.4,NA,13.99848119,MA_DFW_bathymetry_maps,NULL,LAGOSNE,NULL
6,NULL,MA,MA,42.14209147,-72.11981906,12.19140506,7,80.29083446,NULL,NULL,bathymetry,LAGOSNE
7,NULL,MA,MA,42.69828117,-71.00226768,12.5,5.2,24.0288843,MA_DFW_bathymetry_maps,NULL,LAGOSNE,LAGOSNE
8,NULL,MA,MA,42.62187503,-72.37198446,9.143553795,4.6,17.97959348,NULL,NULL,bathymetry,LAGOSNE
9,NULL,MA,MA,42.04511199,-72.75327682,13.71533069,NA,18.63133911,NULL,NULL,bathymetry,NULL
10,NULL,MA,MA,42.02665032,-72.75643874,12.19140506,NA,112.8263549,NULL,NULL,bathymetry,NULL
11,NULL,MA,MA,42.1619772,-70.84923039,1.5,NA,24.60098013,MA_DFW_bathymetry_maps,NULL,LAGOSNE,NULL
12,NULL,MA,MA,42.30681877,-71.37373044,16.76318196,NA,54.44620614,NULL,NULL,bathymetry,NULL
13,NULL,MA,MA,41.77405232,-69.98289738,13.4,6.4,13.39310912,MA_DFW_bathymetry_maps,NULL,LAGOSNE,LAGOSNE
14,NULL,MA,MA,42.28226899,-71.42684695,5.5,1.2,48.65931511,MA_DFW_bathymetry_maps,NULL,LAGOSNE,LAGOSNE
15,NULL,MA,MA,42.6178114,-71.07004078,1.8,NA,20.21496146,MA_DFW_bathymetry_maps,NULL,LAGOSNE,NULL
16,NULL,MA,MA,41.68435053,-70.97381975,6.1,1.2,34.80959191,MA_DFW_bathymetry_maps,NULL,LAGOSNE,LAGOSNE
17,NULL,MA,MA,41.72852825,-70.11951247,3.047851265,NA,140.3624213,NULL,NULL,bathymetry,NULL
18,NULL,MA,MA,41.96915387,-71.32515555,9.1,3,21.89514501,MA_DFW_bathymetry_maps,NULL,LAGOSNE,LAGOSNE
19,NULL,MA,MA,42.46030514,-72.79767118,4.3,2.4,20.73933739,MA_DFW_bathymetry_maps,NULL,LAGOSNE,LAGOSNE
20,NULL,MA,MA,42.02810234,-70.8272876,7.619628162,4.6,35.69983021,NULL,NULL,bathymetry,LAGOSNE
21,NULL,MA,MA,42.23447986,-71.5811673,7.619628162,1.8,226.9444189,NULL,NULL,bathymetry,LAGOSNE
