"lagoslakeid","lake_lat_decdeg","lake_lon_decdeg","Site"
63,47.76305,-91.60831,"August Lake"
223,47.51868,-91.63258,"Greenwood Lake"
414,47.58241,-91.6694,"Sand Lake"
430,47.69582,-91.62568,"Slate Lake"
2867,47.7081,-91.63107,"Dunnigan Lake"
3550,47.68412,-91.61214,"Highlife Lake"
3839,47.68687,-91.45167,"Grouse Lake"
14101,47.63101,-91.5542,"Fourth McDougal"
15139,47.60507,-91.47286,"Unnamed Lake"
20349,47.68806,-91.50667,"Gander Lake"
21441,47.67508,-91.42822,"Mitawan Lake"
27717,47.62628,-91.54792,"Middle McDougal"
29814,47.64779,-91.54297,"Teamster Lake"
30871,47.6865,-91.57367,"Two Deer Lake"
37142,47.64506,-91.34939,"Eighteen Lake"
38199,47.63702,-91.5489,"North McDougal"
50749,47.61951,-91.6274,"Stony Lake"
51824,47.61316,-91.46575,"Fishtrap Lake"
57275,47.43736,-91.48963,"Cloquet Lake"
58010,47.69149,-91.42858,"Kitigan Lake"
59050,47.70527,-91.64648,"Gypsy Lake"
66287,47.67334,-91.62697,"Lil Chub Lake"
66295,47.617,-91.5529,"South McDougal"
73430,47.6444,-91.62274,"Wampus Lake"
102493,47.66144,-91.54366,"Wadop Lake"
113774,47.65096,-91.47981,"Lake Gegoka"
121215,47.66017,-91.45792,"Flathorn Lake"
127093,47.66723,-91.45111,"Rat Lake"
133329,47.67416,-91.64122,"West Chub Lake"
139473,47.7362,-91.6208,"Baird Lake"
