"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Daily Rain (in)","24 Hour Rain (in)","Relative Pressure (inHg)","Outdoor Humidity (%)","Growing Degree Days (days)","Absolute Pressure (inHg)"
2022-09-26T23:48:00-05:00,2022-09-26 23:48:00,70.2,68.4,39,0,0,0,0,0.11,0.11,30.22,32,,28.53
2022-09-26T23:33:00-05:00,2022-09-26 23:33:00,70.2,68.4,39,0,0,0,0,0.11,0.11,30.21,32,,28.52
2022-09-26T23:18:00-05:00,2022-09-26 23:18:00,70.2,68.4,39,0,0,0,0,0.11,0.11,30.21,32,,28.52
2022-09-26T23:03:00-05:00,2022-09-26 23:03:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.21,33,,28.52
2022-09-26T22:48:00-05:00,2022-09-26 22:48:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.21,33,,28.52
2022-09-26T22:33:00-05:00,2022-09-26 22:33:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.2,33,,28.51
2022-09-26T22:18:00-05:00,2022-09-26 22:18:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.2,33,,28.51
2022-09-26T22:03:00-05:00,2022-09-26 22:03:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.2,33,,28.51
2022-09-26T21:48:00-05:00,2022-09-26 21:48:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.2,33,,28.51
2022-09-26T21:33:00-05:00,2022-09-26 21:33:00,70.2,68.5,39.7,0,0,0,0,0.11,0.11,30.2,33,,28.51
2022-09-26T21:18:00-05:00,2022-09-26 21:18:00,70.2,68.5,39.7,0,0,0,0,0.11,0.12,30.19,33,,28.5
2022-09-26T21:03:00-05:00,2022-09-26 21:03:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.19,32,,28.5
2022-09-26T20:48:00-05:00,2022-09-26 20:48:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.18,32,,28.49
2022-09-26T20:33:00-05:00,2022-09-26 20:33:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.18,32,,28.49
2022-09-26T20:18:00-05:00,2022-09-26 20:18:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.18,32,,28.49
2022-09-26T20:03:00-05:00,2022-09-26 20:03:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.18,32,,28.49
2022-09-26T19:48:00-05:00,2022-09-26 19:48:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T19:33:00-05:00,2022-09-26 19:33:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T19:18:00-05:00,2022-09-26 19:18:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T19:03:00-05:00,2022-09-26 19:03:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T18:48:00-05:00,2022-09-26 18:48:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T18:33:00-05:00,2022-09-26 18:33:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T18:18:00-05:00,2022-09-26 18:18:00,70.2,68.4,39,0,0,0,0,0.11,0.13,30.17,32,,28.48
2022-09-26T18:03:00-05:00,2022-09-26 18:03:00,70.2,68.4,38.1,0,0,0,0,0.11,0.13,30.17,31,,28.48
2022-09-26T17:48:00-05:00,2022-09-26 17:48:00,70.2,68.4,38.1,0,0,0,0,0.11,0.13,30.17,31,,28.48
2022-09-26T17:33:00-05:00,2022-09-26 17:33:00,70.2,68.4,38.1,0,0,0,0,0.11,0.13,30.17,31,,28.48
2022-09-26T17:18:00-05:00,2022-09-26 17:18:00,70.2,68.4,38.1,0,0,0,0,0.11,0.13,30.17,31,,28.48
2022-09-26T17:03:00-05:00,2022-09-26 17:03:00,70.2,68.4,38.1,0,0,0,0,0.11,0.13,30.16,31,,28.47
2022-09-26T16:48:00-05:00,2022-09-26 16:48:00,70.2,68.4,38.1,0,0,0,0,0.11,0.15,30.16,31,,28.47
2022-09-26T16:33:00-05:00,2022-09-26 16:33:00,70,68.2,38,0,0,0,0,0.11,0.17,30.16,31,,28.47
2022-09-26T16:18:00-05:00,2022-09-26 16:18:00,70,68.2,38,0,0,0,0,0.11,0.17,30.16,31,,28.47
2022-09-26T16:03:00-05:00,2022-09-26 16:03:00,70,68.2,38.8,0,0,0,0,0.11,0.18,30.16,32,,28.47
2022-09-26T15:48:00-05:00,2022-09-26 15:48:00,70,68.2,38.8,0,0,0,0,0.11,0.18,30.16,32,,28.47
2022-09-26T15:33:00-05:00,2022-09-26 15:33:00,70,68.2,38.8,0,0,0,0,0.11,0.18,30.16,32,,28.47
2022-09-26T15:18:00-05:00,2022-09-26 15:18:00,70,68.2,38.8,0,0,0,0,0.11,0.18,30.16,32,,28.47
2022-09-26T15:03:00-05:00,2022-09-26 15:03:00,69.8,68,39.4,0,0,0,0,0.11,0.18,30.15,33,,28.46
2022-09-26T14:48:00-05:00,2022-09-26 14:48:00,69.8,68,39.4,0,0,0,0,0.11,0.18,30.15,33,,28.46
2022-09-26T14:33:00-05:00,2022-09-26 14:33:00,69.6,67.8,39.2,0,0,0,0,0.11,0.18,30.15,33,,28.46
2022-09-26T14:18:00-05:00,2022-09-26 14:18:00,69.6,67.9,40.7,0,1.1,0,0.03,0.1,0.18,30.2,35,,28.51
2022-09-26T14:03:00-05:00,2022-09-26 14:03:00,68.9,67.1,40.1,0,7.6,0,0.22,0.04,0.17,30.22,35,,28.53
2022-09-26T13:48:00-05:00,2022-09-26 13:48:00,70.5,68.9,41.5,0,6.3,0,0,0.04,0.11,30.23,35,,28.54
2022-09-26T13:33:00-05:00,2022-09-26 13:33:00,70.2,68.7,42.7,0,0,0,0,0.04,0.11,30.28,37,,28.59
2022-09-26T13:18:00-05:00,2022-09-26 13:18:00,69.1,67.6,43.8,0,0,0,0,0.04,0.12,30.54,40,,28.83
2022-09-26T13:03:00-05:00,2022-09-26 13:03:00,66.6,66.6,45.2,0,1.1,0,0,0.04,0.12,30.98,46,,29.24
2022-09-26T12:48:00-05:00,2022-09-26 12:48:00,64.2,64.2,45.7,0,0,0,0,0.04,0.12,30.66,51,,28.93
2022-09-26T12:33:00-05:00,2022-09-26 12:33:00,63,63,47.1,0,0,0,0,0.04,0.12,29.96,56,,28.26
2022-09-26T12:18:00-05:00,2022-09-26 12:18:00,62.1,62.1,48.5,0,0,0,0,0.04,0.12,29.79,61,,28.1
2022-09-26T12:03:00-05:00,2022-09-26 12:03:00,60.1,60.1,49.9,0,0,0,0,0.04,0.12,29.91,69,,28.21
2022-09-26T11:48:00-05:00,2022-09-26 11:48:00,59,59,49.2,0,0,0,0,0.04,0.12,29.92,70,,28.21
2022-09-26T11:33:00-05:00,2022-09-26 11:33:00,58.6,58.6,48.5,0,0,0,0,0.04,0.12,29.93,69,,28.22
2022-09-26T11:03:00-05:00,2022-09-26 11:03:00,58.3,58.3,48.2,0,1.1,0,0,0.04,0.12,29.92,69,,28.21
2022-09-26T10:48:00-05:00,2022-09-26 10:48:00,57.9,57.9,47.8,0,6.3,0,0,0.04,0.12,29.93,69,,28.22
2022-09-26T10:33:00-05:00,2022-09-26 10:33:00,56.8,56.8,47.5,1.3,30.9,0,0,0.04,0.12,30,71,,28.28
2022-09-26T10:18:00-05:00,2022-09-26 10:18:00,56.8,56.8,46.7,1.8,32.2,0,0,0.04,0.12,30,69,,28.28
2022-09-26T10:03:00-05:00,2022-09-26 10:03:00,56.1,56.1,46.8,1.8,32.2,0,0,0.04,0.12,30,71,,28.28
2022-09-26T09:48:00-05:00,2022-09-26 09:48:00,54.1,54.1,46,1.8,42.1,0,0,0.04,0.12,30.01,74,,28.28
2022-09-26T09:33:00-05:00,2022-09-26 09:33:00,49.1,49.1,43.5,0,0.9,0,0,0,0.08,30.02,81,,28.27
2022-09-25T23:48:00-05:00,2022-09-25 23:48:00,46.8,45.9,44.3,3.1,12.1,0,0,0.17,0.17,29.91,91,,28.16
2022-09-25T23:33:00-05:00,2022-09-25 23:33:00,46.6,45.3,44.1,3.6,11.9,0,0,0.17,0.17,29.91,91,,28.16
2022-09-25T23:18:00-05:00,2022-09-25 23:18:00,46.4,45.3,43.9,3.4,12.3,0,0,0.17,0.17,29.91,91,,28.16
2022-09-25T23:03:00-05:00,2022-09-25 23:03:00,46.2,45.2,44,3.1,10.5,0,0,0.17,0.17,29.9,92,,28.15
2022-09-25T22:48:00-05:00,2022-09-25 22:48:00,45.9,44.9,44,3.1,10.1,0,0,0.17,0.17,29.9,93,,28.15
2022-09-25T22:33:00-05:00,2022-09-25 22:33:00,45.9,44.9,44,3.1,9.4,0,0,0.17,0.17,29.9,93,,28.15
2022-09-25T22:18:00-05:00,2022-09-25 22:18:00,46,46,44.4,2.9,7.8,0,0,0.17,0.17,29.9,94,,28.15
2022-09-25T22:03:00-05:00,2022-09-25 22:03:00,46.4,46.4,44.8,2.7,7.8,0,0,0.17,0.17,29.9,94,,28.15
2022-09-25T21:48:00-05:00,2022-09-25 21:48:00,46.6,46.6,45.2,2.5,13.4,0,0,0.17,0.17,29.9,95,,28.15
2022-09-25T21:33:00-05:00,2022-09-25 21:33:00,47.1,47.1,45.5,2.5,10.7,0,0,0.17,0.17,29.89,94,,28.15
2022-09-25T21:18:00-05:00,2022-09-25 21:18:00,47.3,47.3,45.4,2.9,11.9,0,0.03,0.16,0.17,29.89,93,,28.15
2022-09-25T21:03:00-05:00,2022-09-25 21:03:00,47.3,46.5,45.1,3.1,11,0,0.03,0.15,0.16,29.89,92,,28.15
2022-09-25T20:48:00-05:00,2022-09-25 20:48:00,47.5,46.5,45,3.4,10.3,0,0,0.15,0.16,29.89,91,,28.15
2022-09-25T20:33:00-05:00,2022-09-25 20:33:00,47.5,46.7,45,3.1,9.4,0,0,0.15,0.16,29.89,91,,28.15
2022-09-25T20:18:00-05:00,2022-09-25 20:18:00,47.5,45.8,45,4.3,12.3,0,0,0.15,0.17,29.89,91,,28.15
2022-09-25T20:03:00-05:00,2022-09-25 20:03:00,47.7,46,45.2,4.3,13.4,0,0,0.15,0.17,29.88,91,,28.14
2022-09-25T19:48:00-05:00,2022-09-25 19:48:00,47.8,46.3,45.3,4,12.5,0,0,0.15,0.17,29.88,91,,28.14
2022-09-25T19:33:00-05:00,2022-09-25 19:33:00,48.2,46.9,46,3.8,14.3,0,0,0.15,0.18,29.88,92,,28.14
2022-09-25T19:18:00-05:00,2022-09-25 19:18:00,48.7,47.7,46.2,3.6,12.5,0,0,0.15,0.19,29.88,91,,28.14
2022-09-25T19:03:00-05:00,2022-09-25 19:03:00,48.9,47.7,46.1,3.8,15.4,0,0,0.15,0.19,29.88,90,,28.14
2022-09-25T18:48:00-05:00,2022-09-25 18:48:00,49.1,48.5,46,3.1,10.7,0,0,0.15,0.19,29.87,89,,28.13
2022-09-25T18:33:00-05:00,2022-09-25 18:33:00,49.1,49.1,46.3,2.9,10.5,0,0,0.15,0.2,29.87,90,,28.13
2022-09-25T18:18:00-05:00,2022-09-25 18:18:00,49.3,49.3,46.2,2.9,10.5,0,0,0.15,0.2,29.87,89,,28.13
2022-09-25T18:03:00-05:00,2022-09-25 18:03:00,49.5,49.5,46.4,2.5,8.9,0,0,0.15,0.2,29.85,89,,28.12
2022-09-25T17:48:00-05:00,2022-09-25 17:48:00,49.5,49.5,46.7,2.5,10.3,0,0,0.15,0.21,29.85,90,,28.12
2022-09-25T17:33:00-05:00,2022-09-25 17:33:00,49.5,49.5,47,1.8,10.1,0,0,0.15,0.21,29.85,91,,28.12
2022-09-25T17:03:00-05:00,2022-09-25 17:03:00,48.6,48.6,45.8,1.1,8.1,0,0,0.15,0.22,29.85,90,,28.11
2022-09-25T16:48:00-05:00,2022-09-25 16:48:00,50.4,50.4,46.7,3.6,17.4,0,0.09,0.13,0.22,29.83,87,,28.1
2022-09-25T16:33:00-05:00,2022-09-25 16:33:00,54.9,54.9,46.4,4.7,15.7,0,0.09,0.11,0.21,29.79,73,,28.08
2022-09-25T16:18:00-05:00,2022-09-25 16:18:00,57.9,57.9,47,4,13.2,0,0,0.11,0.19,29.77,67,,28.07
2022-09-25T16:03:00-05:00,2022-09-25 16:03:00,57.7,57.7,48.4,3.8,17.2,0,0.03,0.1,0.19,29.78,71,,28.08
2022-09-25T15:48:00-05:00,2022-09-25 15:48:00,55.2,55.2,48.1,3.4,11.9,0,0,0.1,0.18,29.79,77,,28.08
2022-09-25T15:33:00-05:00,2022-09-25 15:33:00,53.8,53.8,48.1,4,14.3,0,0,0.1,0.19,29.8,81,,28.08
2022-09-25T15:18:00-05:00,2022-09-25 15:18:00,55,55,47.9,3.6,9.8,0,0,0.1,0.2,29.78,77,,28.07
2022-09-25T15:03:00-05:00,2022-09-25 15:03:00,55,55,47.2,3.8,12.8,0,0,0.1,0.22,29.78,75,,28.07
2022-09-25T14:48:00-05:00,2022-09-25 14:48:00,54,54,46.3,3.4,11.9,0,0,0.1,0.22,29.78,75,,28.06
2022-09-25T14:33:00-05:00,2022-09-25 14:33:00,55.6,55.6,46.7,4,15.7,0,0,0.1,0.22,29.77,72,,28.06
2022-09-25T14:18:00-05:00,2022-09-25 14:18:00,60.8,60.8,48.5,6.3,16.1,0,0,0.1,0.22,29.73,64,,28.04
2022-09-25T14:03:00-05:00,2022-09-25 14:03:00,60.4,60.4,48.2,5.1,16.1,0,0,0.1,0.22,29.73,64,,28.04
2022-09-25T13:48:00-05:00,2022-09-25 13:48:00,60.6,60.6,49.2,5.6,17,0,0,0.1,0.22,29.73,66,,28.04
2022-09-25T13:33:00-05:00,2022-09-25 13:33:00,59.5,59.5,48.5,5.8,23.7,0,0,0.1,0.22,29.74,67,,28.04
2022-09-25T13:18:00-05:00,2022-09-25 13:18:00,60.1,60.1,49.5,4.9,21.7,0,0.03,0.09,0.22,29.73,68,,28.04
2022-09-25T13:03:00-05:00,2022-09-25 13:03:00,58.3,58.3,49.3,3.8,12.5,0,0,0.09,0.21,29.74,72,,28.04
2022-09-25T12:48:00-05:00,2022-09-25 12:48:00,58.5,58.5,49.5,4.7,13.9,0,0,0.09,0.21,29.74,72,,28.04
2022-09-25T12:33:00-05:00,2022-09-25 12:33:00,59.5,59.5,51.2,4.3,13.2,0,0,0.09,0.21,29.74,74,,28.04
2022-09-25T12:18:00-05:00,2022-09-25 12:18:00,59.2,59.2,51.6,4,14.1,0,0,0.09,0.21,29.75,76,,28.05
2022-09-25T12:03:00-05:00,2022-09-25 12:03:00,58.3,58.3,51.8,2,13.4,0,0,0.09,0.21,29.75,79,,28.05
2022-09-25T11:48:00-05:00,2022-09-25 11:48:00,59,59,52.5,1.6,18.3,0,0,0.09,0.21,29.74,79,,28.04
2022-09-25T11:33:00-05:00,2022-09-25 11:33:00,57.4,57.4,52.3,3.4,21,0,0,0.09,0.21,29.75,83,,28.05
2022-09-25T11:18:00-05:00,2022-09-25 11:18:00,55.6,55.6,51.8,3.8,10.1,0,0,0.09,0.21,29.77,87,,28.06
2022-09-25T11:03:00-05:00,2022-09-25 11:03:00,56.3,56.3,52.5,3.4,10.5,0,0,0.09,0.21,29.77,87,,28.06
2022-09-25T10:48:00-05:00,2022-09-25 10:48:00,55,55,51.8,2.7,18.3,0,0,0.09,0.21,29.77,89,,28.06
2022-09-25T10:33:00-05:00,2022-09-25 10:33:00,54.7,54.7,51.8,2.7,11.6,0,0,0.09,0.21,29.78,90,,28.07
2022-09-25T10:18:00-05:00,2022-09-25 10:18:00,54.9,54.9,51.7,2.9,10.1,0,0,0.09,0.21,29.77,89,,28.06
2022-09-25T10:03:00-05:00,2022-09-25 10:03:00,54.5,54.5,51.9,1.6,7.4,0,0,0.09,0.21,29.77,91,,28.06
2022-09-25T09:48:00-05:00,2022-09-25 09:48:00,53.6,53.6,51.6,1.1,12.5,0,0,0.09,0.21,29.78,93,,28.06
2022-09-25T09:33:00-05:00,2022-09-25 09:33:00,52.3,52.3,50.9,2.2,9.2,0,0,0.09,0.21,29.79,95,,28.07
2022-09-24T23:48:00-05:00,2022-09-24 23:48:00,49.1,49.1,48.8,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T23:33:00-05:00,2022-09-24 23:33:00,49.1,49.1,48.8,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T23:18:00-05:00,2022-09-24 23:18:00,49.3,49.3,49,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T23:03:00-05:00,2022-09-24 23:03:00,49.3,49.3,49,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T22:48:00-05:00,2022-09-24 22:48:00,49.3,49.3,49,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T22:33:00-05:00,2022-09-24 22:33:00,49.3,49.3,49,0,0,0,0,0.22,0.22,29.84,99,,28.11
2022-09-24T22:18:00-05:00,2022-09-24 22:18:00,49.3,49.3,49,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T22:03:00-05:00,2022-09-24 22:03:00,49.3,49.3,49,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T21:48:00-05:00,2022-09-24 21:48:00,49.5,49.5,49.2,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T21:33:00-05:00,2022-09-24 21:33:00,49.5,49.5,49.2,0,1.3,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T21:18:00-05:00,2022-09-24 21:18:00,49.6,49.6,49.3,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T21:03:00-05:00,2022-09-24 21:03:00,49.6,49.6,49.3,0,0,0,0,0.22,0.22,29.83,99,,28.1
2022-09-24T20:48:00-05:00,2022-09-24 20:48:00,49.6,49.6,49.3,0,0,0,0.03,0.21,0.22,29.83,99,,28.1
2022-09-24T20:33:00-05:00,2022-09-24 20:33:00,49.6,49.6,49.3,0,0,0,0,0.21,0.21,29.83,99,,28.1
