,Date,AirTemp_F,FeelsLike,DewPoint,WindSpeed_mph,WindGust_mph,WindDirection,HourlyRain_inhr,DailyRain_in,Rain24hr_in,RelativePressure_inHg,OutdoorHumidity_pct,AbsolutePressure_inHg
Average,5/24/2022,63.6,62.7,35.7,1.2,4,WNW,0,0.02,0.03,30.2,36,28.49
High,5/24/2022,77.4,76.3,46.6,6.3,12.8,,0.06,0.03,0.03,30.41,57,28.71
High Datetime,5/24/2022,2022-05-24T14:39:00-05:00,2022-05-24T14:39:00-05:00,2022-05-24T14:44:00-05:00,2022-05-24T15:21:00-05:00,2022-05-24T16:01:00-05:00,,2022-05-24T15:21:00-05:00,2022-05-24T15:26:00-05:00,2022-05-24T15:21:00-05:00,2022-05-24T09:20:00-05:00,2022-05-24T23:31:00-05:00,2022-05-24T09:20:00-05:00
Low,5/24/2022,49.5,49.5,33.4,0,0,,0,0,0,30.13,26,28.44
Low Datetime,5/24/2022,2022-05-24T23:31:00-05:00,2022-05-24T23:31:00-05:00,2022-05-24T09:35:00-05:00,2022-05-24T09:20:00-05:00,2022-05-24T09:20:00-05:00,,2022-05-24T09:20:00-05:00,2022-05-24T09:20:00-05:00,2022-05-24T09:20:00-05:00,2022-05-24T17:31:00-05:00,2022-05-24T09:20:00-05:00,2022-05-24T17:31:00-05:00
Average,5/25/2022,48,47.9,40.5,1.4,6.7,E,0.01,0.04,0.06,30.16,77,28.4
High,5/25/2022,53.4,53.4,45.3,4,16.6,,0.06,0.17,0.18,30.25,98,28.5
High Datetime,5/25/2022,2022-05-25T09:46:00-05:00,2022-05-25T09:46:00-05:00,2022-05-25T13:46:00-05:00,2022-05-25T14:01:00-05:00,2022-05-25T12:31:00-05:00,,2022-05-25T18:16:00-05:00,2022-05-25T23:46:00-05:00,2022-05-25T23:46:00-05:00,2022-05-25T10:01:00-05:00,2022-05-25T20:46:00-05:00,2022-05-25T10:01:00-05:00
Low,5/25/2022,45.1,45.1,33.2,0,0,,0,0,0.03,29.95,51,28.2
Low Datetime,5/25/2022,2022-05-25T23:46:00-05:00,2022-05-25T23:46:00-05:00,2022-05-25T05:46:00-05:00,2022-05-25T01:01:00-05:00,2022-05-25T01:01:00-05:00,,2022-05-25T01:01:00-05:00,2022-05-25T01:01:00-05:00,2022-05-25T01:01:00-05:00,2022-05-25T23:46:00-05:00,2022-05-25T05:46:00-05:00,2022-05-25T23:46:00-05:00
Average,5/26/2022,49.9,49.9,43.4,1.4,6.2,N,0,0.05,0.19,29.92,80,28.18
High,5/26/2022,56.5,56.5,46.5,3.8,13.9,,0.03,0.05,0.23,29.97,100,28.2
High Datetime,5/26/2022,2022-05-26T14:16:00-05:00,2022-05-26T14:16:00-05:00,2022-05-26T10:31:00-05:00,2022-05-26T12:31:00-05:00,2022-05-26T13:46:00-05:00,,2022-05-26T01:01:00-05:00,2022-05-26T04:31:00-05:00,2022-05-26T04:16:00-05:00,2022-05-26T23:46:00-05:00,2022-05-26T04:46:00-05:00,2022-05-26T17:01:00-05:00
Low,5/26/2022,41.7,41.7,39.8,0,0,,0,0.01,0.06,29.88,56,28.15
Low Datetime,5/26/2022,2022-05-26T23:46:00-05:00,2022-05-26T23:46:00-05:00,2022-05-26T23:46:00-05:00,2022-05-26T20:31:00-05:00,2022-05-26T20:31:00-05:00,,2022-05-26T01:16:00-05:00,2022-05-26T01:01:00-05:00,2022-05-26T23:46:00-05:00,2022-05-26T13:46:00-05:00,2022-05-26T15:16:00-05:00,2022-05-26T04:31:00-05:00
Average,5/27/2022,56.8,56.4,41.6,1.6,5.6,N,0,0,0,29.88,62,28.16
High,5/27/2022,75.2,74,46.3,5.1,14.3,,0,0,0.04,30,99,28.24
High Datetime,5/27/2022,2022-05-27T17:46:00-05:00,2022-05-27T17:46:00-05:00,2022-05-27T08:46:00-05:00,2022-05-27T12:01:00-05:00,2022-05-27T15:31:00-05:00,,2022-05-27T01:01:00-05:00,2022-05-27T01:01:00-05:00,2022-05-27T01:01:00-05:00,2022-05-27T05:16:00-05:00,2022-05-27T06:16:00-05:00,2022-05-27T08:31:00-05:00
Low,5/27/2022,32.9,32.9,32.4,0,0,,0,0,0,29.76,33,28.11
Low Datetime,5/27/2022,2022-05-27T05:16:00-05:00,2022-05-27T05:16:00-05:00,2022-05-27T05:16:00-05:00,2022-05-27T01:01:00-05:00,2022-05-27T01:01:00-05:00,,2022-05-27T01:01:00-05:00,2022-05-27T01:01:00-05:00,2022-05-27T04:31:00-05:00,2022-05-27T17:01:00-05:00,2022-05-27T17:46:00-05:00,2022-05-27T17:01:00-05:00
Average,5/28/2022,54.5,54.5,50.2,1.3,7,ESE,0.01,0.09,0.09,29.75,86,28.04
High,5/28/2022,58.3,58.3,55.6,4,13.2,,0.13,0.14,0.14,29.82,100,28.11
High Datetime,5/28/2022,2022-05-28T07:01:00-05:00,2022-05-28T07:01:00-05:00,2022-05-28T11:31:00-05:00,2022-05-28T07:31:00-05:00,2022-05-28T07:31:00-05:00,,2022-05-28T08:16:00-05:00,2022-05-28T10:31:00-05:00,2022-05-28T10:16:00-05:00,2022-05-28T01:01:00-05:00,2022-05-28T23:01:00-05:00,2022-05-28T01:01:00-05:00
Low,5/28/2022,52,52,41.5,0,0,,0,0,0,29.7,59,27.99
Low Datetime,5/28/2022,2022-05-28T21:31:00-05:00,2022-05-28T21:31:00-05:00,2022-05-28T01:31:00-05:00,2022-05-28T03:01:00-05:00,2022-05-28T09:31:00-05:00,,2022-05-28T01:01:00-05:00,2022-05-28T01:01:00-05:00,2022-05-28T01:01:00-05:00,2022-05-28T18:01:00-05:00,2022-05-28T01:01:00-05:00,2022-05-28T18:01:00-05:00
Average,5/29/2022,60.4,60.4,55.9,1.8,8.1,ESE,0,0,0.05,29.6,86,27.91
High,5/29/2022,70,70,60.2,4.5,17.9,,0,0,0.14,29.69,100,27.97
High Datetime,5/29/2022,2022-05-29T17:16:00-05:00,2022-05-29T17:16:00-05:00,2022-05-29T17:16:00-05:00,2022-05-29T13:16:00-05:00,2022-05-29T13:16:00-05:00,,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00
Low,5/29/2022,50,50,49,0,2.2,,0,0,0,29.51,48,27.86
Low Datetime,5/29/2022,2022-05-29T04:46:00-05:00,2022-05-29T04:46:00-05:00,2022-05-29T17:01:00-05:00,2022-05-29T03:01:00-05:00,2022-05-29T03:01:00-05:00,,2022-05-29T01:01:00-05:00,2022-05-29T01:01:00-05:00,2022-05-29T10:31:00-05:00,2022-05-29T17:01:00-05:00,2022-05-29T17:01:00-05:00,2022-05-29T17:01:00-05:00
Average,5/30/2022,65.6,65.7,62.1,1.9,9.3,N,0.03,0.31,0.32,29.53,88,27.87
High,5/30/2022,74.8,75.4,66.8,8.5,23.9,,0.79,0.67,0.67,29.91,100,28.16
High Datetime,5/30/2022,2022-05-30T17:31:00-05:00,2022-05-30T17:31:00-05:00,2022-05-30T16:46:00-05:00,2022-05-31T23:31:00-05:00,2022-05-30T07:46:00-05:00,,2022-05-30T22:16:00-05:00,2022-05-30T23:01:00-05:00,2022-05-30T22:46:00-05:00,2022-05-31T23:31:00-05:00,2022-05-30T07:01:00-05:00,2022-05-31T23:31:00-05:00
Low,5/30/2022,45.5,41.1,41.6,0,1.3,,0,0,0,29.41,72,27.78
Low Datetime,5/30/2022,2022-05-31T23:31:00-05:00,2022-05-31T23:31:00-05:00,2022-05-31T23:31:00-05:00,2022-05-30T01:16:00-05:00,2022-05-30T03:46:00-05:00,,2022-05-30T01:01:00-05:00,2022-05-30T01:01:00-05:00,2022-05-30T01:01:00-05:00,2022-05-30T18:01:00-05:00,2022-05-30T17:46:00-05:00,2022-05-30T18:01:00-05:00
Average,5/31/2022,56.3,55.8,51.1,7,20.1,N,0,0.06,0.43,29.56,83,27.87
High,5/31/2022,61.2,61.2,58.3,13.4,34.9,,0.13,0.11,0.69,29.9,97,28.15
High Datetime,5/31/2022,2022-05-31T09:31:00-05:00,2022-05-31T09:31:00-05:00,2022-05-31T04:01:00-05:00,2022-05-31T16:31:00-05:00,2022-05-31T14:46:00-05:00,,2022-05-31T10:31:00-05:00,2022-05-31T21:46:00-05:00,2022-05-31T02:31:00-05:00,2022-05-31T23:01:00-05:00,2022-05-31T01:01:00-05:00,2022-05-31T23:01:00-05:00
Low,5/31/2022,45.5,40.8,41.6,0.7,5.8,,0,0,0.11,29.39,64,27.71
Low Datetime,5/31/2022,2022-05-31T23:01:00-05:00,2022-05-31T23:01:00-05:00,2022-05-31T23:16:00-05:00,2022-05-31T01:46:00-05:00,2022-05-31T01:01:00-05:00,,2022-05-31T01:01:00-05:00,2022-05-31T01:01:00-05:00,2022-05-31T23:01:00-05:00,2022-05-31T04:01:00-05:00,2022-05-31T16:16:00-05:00,2022-05-31T06:01:00-05:00
Average,6/1/2022,54.4,53.4,36.5,5.2,12.5,WNW,0,0,0.04,29.96,55,28.23
High,6/1/2022,67.1,67.1,41.9,9.2,27.1,,0,0,0.11,30.04,93,28.3
High Datetime,6/1/2022,2022-06-01T15:16:00-05:00,2022-06-01T15:16:00-05:00,2022-06-01T08:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T07:16:00-05:00,2022-06-01T06:16:00-05:00,2022-06-01T08:46:00-05:00
Low,6/1/2022,41.5,38.5,25.5,0,0,,0,0,0,29.88,0,28.17
Low Datetime,6/1/2022,2022-06-01T05:31:00-05:00,2022-06-01T05:46:00-05:00,2022-06-01T14:31:00-05:00,2022-06-01T20:31:00-05:00,2022-06-01T20:31:00-05:00,,2022-06-01T01:01:00-05:00,2022-06-01T01:01:00-05:00,2022-06-01T21:46:00-05:00,2022-06-01T16:46:00-05:00,2022-06-01T13:46:00-05:00,2022-06-01T23:46:00-05:00
Average,6/2/2022,54.7,54.7,36.2,5.2,12.7,WNW,0,0,0,29.81,53,28.1
High,6/2/2022,66.7,66.7,42.7,11.9,28.6,,0,0,0,29.92,89,28.17
High Datetime,6/2/2022,2022-06-02T11:46:00-05:00,2022-06-02T11:46:00-05:00,2022-06-02T07:31:00-05:00,2022-06-02T12:01:00-05:00,2022-06-02T11:46:00-05:00,,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:16:00-05:00,2022-06-02T06:16:00-05:00,2022-06-02T01:01:00-05:00
Low,6/2/2022,42.1,42.1,28,0,0,,0,0,0,29.71,24,28.04
Low Datetime,6/2/2022,2022-06-02T06:16:00-05:00,2022-06-02T06:16:00-05:00,2022-06-02T11:31:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:31:00-05:00,,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T01:01:00-05:00,2022-06-02T11:46:00-05:00,2022-06-02T11:31:00-05:00,2022-06-02T11:46:00-05:00
Average,6/3/2022,49,47.8,33.6,5.4,13.2,WNW,0,0.01,0.01,29.92,59,28.18
High,6/3/2022,61.3,61.3,38.9,11.2,26.4,,0.03,0.01,0.01,29.98,94,28.22
High Datetime,6/3/2022,2022-06-03T17:16:00-05:00,2022-06-03T17:16:00-05:00,2022-06-03T05:01:00-05:00,2022-06-03T15:01:00-05:00,2022-06-03T15:01:00-05:00,,2022-06-03T04:31:00-05:00,2022-06-03T04:46:00-05:00,2022-06-03T04:31:00-05:00,2022-06-03T23:46:00-05:00,2022-06-03T05:01:00-05:00,2022-06-03T11:16:00-05:00
Low,6/3/2022,38.1,35.5,25.4,0,0,,0,0,0,29.84,26,28.1
Low Datetime,6/3/2022,2022-06-03T23:46:00-05:00,2022-06-03T06:31:00-05:00,2022-06-03T18:16:00-05:00,2022-06-03T21:01:00-05:00,2022-06-03T21:01:00-05:00,,2022-06-03T01:01:00-05:00,2022-06-03T01:01:00-05:00,2022-06-03T01:01:00-05:00,2022-06-03T01:01:00-05:00,2022-06-03T18:16:00-05:00,2022-06-03T01:01:00-05:00
Average,6/4/2022,57.2,56.5,34.2,3.3,8.9,WNW,0,0,0,29.88,48,28.17
High,6/4/2022,72,70,40.4,8.7,22.8,,0,0,0.01,29.98,90,28.22
High Datetime,6/4/2022,2022-06-04T15:01:00-05:00,2022-06-04T15:01:00-05:00,2022-06-04T10:01:00-05:00,2022-06-04T14:31:00-05:00,2022-06-04T13:16:00-05:00,,2022-06-04T01:01:00-05:00,2022-06-04T01:01:00-05:00,2022-06-04T01:01:00-05:00,2022-06-04T02:01:00-05:00,2022-06-04T03:46:00-05:00,2022-06-04T02:01:00-05:00
Low,6/4/2022,38.3,38.3,28.8,0,0,,0,0,0,29.8,21,28.14
